 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;0;355;355;0;0;0;0
"=""00:30""";0;0;385;385;0;0;0;0
"=""00:45""";0;0;326;326;0;0;0;0
"=""01:00""";0;0;318;318;0;0;0;0
"=""01:15""";0;0;280;280;0;0;0;0
"=""01:30""";0;0;340;340;0;0;0;0
"=""01:45""";0;0;346;346;0;0;0;0
"=""02:00""";0;0;347;347;0;0;0;0
"=""02:15""";0;0;329;329;0;0;0;0
"=""02:30""";0;0;323;323;0;0;0;0
"=""02:45""";0;0;318;318;0;0;0;0
"=""03:00""";0;0;314;314;0;0;0;0
"=""03:15""";0;0;349;349;0;0;0;0
"=""03:30""";0;0;346;346;0;0;0;0
"=""03:45""";0;0;345;345;0;0;0;0
"=""04:00""";0;0;284;284;0;0;0;0
"=""04:15""";0;0;324;324;0;0;0;0
"=""04:30""";0;0;320;320;0;0;0;0
"=""04:45""";0;0;358;358;0;0;0;0
"=""05:00""";0;0;343;343;0;0;0;0
"=""05:15""";0;0;343;343;0;0;0;0
"=""05:30""";0;0;285;285;0;0;0;0
"=""05:45""";0;0;273;273;0;0;0;0
"=""06:00""";0;0;316;316;0;0;0;0
"=""06:15""";0;0;366;366;0;0;0;0
"=""06:30""";0;0;368;368;0;0;0;0
"=""06:45""";0;0;395;395;0;0;0;0
"=""07:00""";0;0;345;345;0;0;0;0
"=""07:15""";31;0;274;305;0;31;0;31
"=""07:30""";25;0;326;351;0;25;0;25
"=""07:45""";127;0;287;414;0;127;0;127
"=""08:00""";184;0;771;955;0;184;0;184
"=""08:15""";221;0;233;454;0;221;0;221
"=""08:30""";364;0;13;378;6;364;178;548
"=""08:45""";274;0;1;275;1;274;271;546
"=""09:00""";241;0;5;246;6;241;696;943
"=""09:15""";244;0;2;246;1;244;465;710
"=""09:30""";517;340;4;861;3;517;204;723
"=""09:45""";"1,307";365;5;"1,677";5;"1,307";0;"1,312"
"=""10:00""";"1,106";338;284;"1,728";1;"1,106";0;"1,107"
"=""10:15""";"1,157";0;718;"1,875";0;"1,157";0;"1,157"
"=""10:30""";932;0;"1,603";"2,535";2;932;0;934
"=""10:45""";"1,670";0;719;"2,389";97;"1,670";0;"1,767"
"=""11:00""";"2,730";0;19;"2,749";610;"2,730";0;"3,340"
"=""11:15""";"2,478";17;275;"2,770";59;"2,478";292;"2,829"
"=""11:30""";"2,374";173;336;"2,883";5;"2,374";68;"2,447"
"=""11:45""";"2,444";0;153;"2,597";4;"2,444";68;"2,516"
"=""12:00""";"1,971";0;71;"2,042";13;"1,971";657;"2,641"
"=""12:15""";"1,259";0;35;"1,294";35;"1,259";"1,742";"3,035"
"=""12:30""";"1,277";0;25;"1,302";23;"1,277";"1,142";"2,442"
"=""12:45""";"1,280";0;22;"1,302";27;"1,280";"1,207";"2,514"
"=""13:00""";"1,400";0;23;"1,423";21;"1,400";"1,452";"2,873"
"=""13:15""";"1,537";0;9;"1,546";9;"1,537";501;"2,047"
"=""13:30""";"1,603";0;15;"1,618";15;"1,603";694;"2,312"
"=""13:45""";"1,565";0;47;"1,611";46;"1,565";"1,646";"3,257"
"=""14:00""";"1,592";0;40;"1,632";38;"1,592";"1,542";"3,172"
"=""14:15""";"1,466";190;8;"1,665";6;"1,466";97;"1,570"
"=""14:30""";"1,099";410;2;"1,512";5;"1,099";30;"1,134"
"=""14:45""";356;0;3;359;3;356;"1,096";"1,455"
"=""15:00""";402;0;5;407;5;402;"1,201";"1,608"
"=""15:15""";426;0;6;432;5;426;"1,190";"1,621"
"=""15:30""";426;0;9;435;8;426;"1,027";"1,461"
"=""15:45""";425;0;6;430;7;425;"1,101";"1,532"
"=""16:00""";361;0;5;366;5;361;852;"1,218"
"=""16:15""";350;0;5;355;4;350;746;"1,101"
"=""16:30""";312;0;2;314;3;312;417;732
"=""16:45""";370;0;3;372;2;370;336;708
"=""17:00""";447;0;2;449;3;447;145;595
"=""17:15""";406;0;5;411;1;406;112;519
"=""17:30""";355;25;3;383;1;355;0;356
"=""17:45""";289;131;2;423;2;289;0;291
"=""18:00""";254;149;2;404;1;254;0;255
"=""18:15""";119;219;2;339;1;119;0;120
"=""18:30""";120;267;1;388;2;120;0;122
"=""18:45""";0;334;2;335;2;0;0;0
"=""19:00""";0;276;2;276;1;0;0;0
"=""19:15""";0;678;25;681;22;0;0;0
"=""19:30""";0;685;56;681;61;0;0;0
"=""19:45""";0;760;41;767;35;0;0;0
"=""20:00""";0;800;5;800;6;0;0;0
"=""20:15""";0;540;1;540;1;0;0;0
"=""20:30""";0;553;1;553;1;0;0;0
"=""20:45""";0;531;1;531;1;0;0;0
"=""21:00""";0;449;1;449;1;0;0;0
"=""21:15""";0;405;1;405;1;0;0;0
"=""21:30""";0;485;3;485;3;0;0;0
"=""21:45""";0;443;4;444;3;0;0;0
"=""22:00""";0;467;4;468;3;0;0;0
"=""22:15""";0;520;3;520;3;0;0;0
"=""22:30""";0;425;1;425;2;0;0;0
"=""22:45""";0;393;1;393;1;0;0;0
"=""23:00""";0;279;1;279;1;0;0;0
"=""23:15""";0;274;1;275;1;0;0;0
"=""23:30""";0;274;1;274;1;0;0;0
"=""23:45""";0;336;1;335;1;0;0;0
"=""00:00""";0;335;1;335;1;0;0;0
