 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;319;1;319;1;0;0;0
"=""00:30""";0;317;1;318;1;0;0;0
"=""00:45""";0;328;1;328;1;0;0;0
"=""01:00""";0;293;1;292;1;0;0;0
"=""01:15""";0;288;1;288;1;0;0;0
"=""01:30""";0;273;1;273;1;0;0;0
"=""01:45""";0;241;1;241;1;0;0;0
"=""02:00""";0;241;1;241;1;0;0;0
"=""02:15""";0;242;1;242;1;0;0;0
"=""02:30""";0;247;1;247;1;0;0;0
"=""02:45""";0;251;1;251;1;0;0;0
"=""03:00""";0;338;1;338;1;0;0;0
"=""03:15""";0;360;1;360;1;0;0;0
"=""03:30""";0;355;1;355;1;0;0;0
"=""03:45""";0;324;1;324;1;0;0;0
"=""04:00""";0;326;1;326;1;0;0;0
"=""04:15""";0;261;1;261;1;0;0;0
"=""04:30""";0;241;1;241;1;0;0;0
"=""04:45""";0;241;1;241;1;0;0;0
"=""05:00""";0;291;1;291;1;0;0;0
"=""05:15""";0;289;1;289;1;0;0;0
"=""05:30""";0;275;1;276;1;0;0;0
"=""05:45""";0;240;1;240;1;0;0;0
"=""06:00""";0;241;1;240;1;0;0;0
"=""06:15""";0;274;1;274;1;0;0;0
"=""06:30""";0;311;1;311;1;0;0;0
"=""06:45""";0;315;1;315;1;0;0;0
"=""07:00""";0;364;1;364;2;0;0;0
"=""07:15""";0;367;1;367;1;0;0;0
"=""07:30""";2;295;1;298;1;2;0;3
"=""07:45""";112;109;1;221;1;112;0;113
"=""08:00""";170;51;1;222;1;170;0;171
"=""08:15""";202;40;1;243;1;202;0;203
"=""08:30""";227;0;2;229;1;227;92;321
"=""08:45""";224;0;1;225;1;224;297;522
"=""09:00""";275;0;2;277;1;275;439;715
"=""09:15""";271;0;2;273;1;271;291;563
"=""09:30""";287;0;1;288;1;287;281;569
"=""09:45""";294;0;1;295;1;294;401;696
"=""10:00""";303;0;1;305;3;303;671;977
"=""10:15""";305;0;3;308;4;305;"1,085";"1,394"
"=""10:30""";312;0;4;316;4;312;"1,218";"1,534"
"=""10:45""";253;0;4;258;4;253;"1,357";"1,614"
"=""11:00""";275;0;3;279;3;275;"1,161";"1,440"
"=""11:15""";278;0;4;282;3;278;"1,480";"1,761"
"=""11:30""";275;0;5;279;5;275;"1,718";"1,998"
"=""11:45""";245;0;5;250;5;245;"2,031";"2,282"
"=""12:00""";246;0;5;251;5;246;"2,095";"2,346"
"=""12:15""";248;0;5;254;6;248;"2,202";"2,456"
"=""12:30""";254;0;7;260;8;254;"2,519";"2,780"
"=""12:45""";301;0;5;305;780;301;"2,062";"3,143"
"=""13:00""";368;0;0;368;"2,027";368;0;"2,395"
"=""13:15""";"1,174";0;0;"1,174";"1,099";"1,174";0;"2,273"
"=""13:30""";"1,468";0;0;"1,468";910;"1,468";0;"2,378"
"=""13:45""";"1,464";0;0;"1,464";479;"1,464";0;"1,943"
"=""14:00""";"1,464";0;0;"1,464";797;"1,464";0;"2,261"
"=""14:15""";"1,483";0;0;"1,483";"1,410";"1,483";0;"2,893"
"=""14:30""";"1,516";0;0;"1,516";"1,585";"1,516";0;"3,101"
"=""14:45""";"1,308";0;0;"1,308";"1,662";"1,308";0;"2,970"
"=""15:00""";312;0;0;312;"2,679";312;0;"2,991"
"=""15:15""";319;0;0;319;"2,656";319;0;"2,975"
"=""15:30""";323;0;0;323;"2,850";323;0;"3,173"
"=""15:45""";272;0;0;272;"2,739";272;0;"3,011"
"=""16:00""";282;0;0;282;"2,202";282;0;"2,484"
"=""16:15""";315;0;0;315;"1,256";315;0;"1,571"
"=""16:30""";317;0;0;317;"1,164";317;0;"1,481"
"=""16:45""";319;0;0;319;"1,192";319;0;"1,511"
"=""17:00""";361;0;0;361;965;361;0;"1,326"
"=""17:15""";368;0;0;368;780;368;0;"1,148"
"=""17:30""";293;0;0;293;905;293;0;"1,198"
"=""17:45""";236;0;0;236;394;236;0;630
"=""18:00""";236;0;0;236;367;236;0;603
"=""18:15""";232;0;0;232;298;232;0;530
"=""18:30""";331;0;0;331;168;331;0;499
"=""18:45""";341;0;0;341;87;341;0;428
"=""19:00""";330;78;9;417;2;330;2;334
"=""19:15""";238;268;1;507;1;238;0;239
"=""19:30""";255;245;1;501;1;255;0;256
"=""19:45""";0;"1,296";9;"1,300";6;0;0;
"=""20:00""";37;"2,015";14;"2,067";14;37;0;51
"=""20:15""";3;825;11;839;14;3;0;17
"=""20:30""";0;500;5;500;5;0;0;0
"=""20:45""";0;502;6;502;6;0;0;0
"=""21:00""";0;565;8;564;9;0;0;0
"=""21:15""";0;620;3;620;3;0;0;0
"=""21:30""";0;475;1;475;1;0;0;0
"=""21:45""";0;454;1;453;1;0;0;0
"=""22:00""";0;485;4;486;3;0;0;0
"=""22:15""";0;498;3;498;3;0;0;0
"=""22:30""";0;507;3;507;3;0;0;0
"=""22:45""";0;501;4;501;4;0;0;0
"=""23:00""";0;508;3;508;3;0;0;0
"=""23:15""";0;442;1;443;1;0;0;0
"=""23:30""";0;446;1;445;1;0;0;0
"=""23:45""";0;378;1;378;1;0;0;0
"=""00:00""";0;269;1;269;1;0;0;0
