 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;0;286;286;0;0;0;0
"=""00:30""";0;0;294;294;0;0;0;0
"=""00:45""";0;0;354;354;0;0;0;0
"=""01:00""";0;0;356;356;0;0;0;0
"=""01:15""";0;0;381;381;0;0;0;0
"=""01:30""";0;0;336;336;0;0;0;0
"=""01:45""";0;0;333;333;0;0;0;0
"=""02:00""";0;0;296;296;0;0;0;0
"=""02:15""";0;0;377;377;0;0;0;0
"=""02:30""";0;0;501;501;0;0;0;0
"=""02:45""";0;0;388;388;0;0;0;0
"=""03:00""";0;0;424;424;0;0;0;0
"=""03:15""";0;0;454;454;0;0;0;0
"=""03:30""";0;0;409;409;0;0;0;0
"=""03:45""";0;0;299;299;0;0;0;0
"=""04:00""";0;0;289;289;0;0;0;0
"=""04:15""";0;0;289;289;0;0;0;0
"=""04:30""";0;0;359;359;0;0;0;0
"=""04:45""";0;0;364;364;0;0;0;0
"=""05:00""";0;0;404;404;0;0;0;0
"=""05:15""";0;0;345;345;0;0;0;0
"=""05:30""";0;0;304;304;0;0;0;0
"=""05:45""";0;0;288;288;0;0;0;0
"=""06:00""";0;0;338;338;0;0;0;0
"=""06:15""";0;0;357;357;0;0;0;0
"=""06:30""";0;0;353;353;0;0;0;0
"=""06:45""";0;0;436;436;0;0;0;0
"=""07:00""";0;0;382;382;0;0;0;0
"=""07:15""";15;0;346;361;0;15;0;15
"=""07:30""";41;0;368;409;0;41;0;41
"=""07:45""";97;0;"1,340";"1,437";0;97;0;97
"=""08:00""";117;0;833;950;0;117;0;117
"=""08:15""";109;0;361;470;0;109;0;109
"=""08:30""";0;0;365;365;0;0;0;0
"=""08:45""";0;0;135;135;0;0;0;
"=""09:00""";311;0;15;325;4;311;26;341
"=""09:15""";0;0;16;;0;0;20;
"=""09:30""";431;0;8;439;5;431;92;528
"=""09:45""";567;0;"1,204";"1,771";1;567;99;667
"=""10:00""";496;0;"1,672";"2,168";0;496;0;496
"=""10:15""";522;0;237;760;1;522;0;523
"=""10:30""";284;0;511;795;12;284;61;357
"=""10:45""";0;0;440;239;24;0;177;
"=""11:00""";0;0;324;;44;0;456;
"=""11:15""";635;135;158;928;87;635;771;"1,493"
"=""11:30""";641;185;119;945;108;641;686;"1,435"
"=""11:45""";773;104;117;993;122;773;993;"1,888"
"=""12:00""";0;144;110;238;100;0;968;"1,052"
"=""12:15""";0;230;60;;54;0;436;
"=""12:30""";"1,127";0;6;"1,133";6;"1,127";841;"1,974"
"=""12:45""";"1,087";0;5;"1,092";5;"1,087";495;"1,587"
"=""13:00""";"1,201";"1,068";12;"2,280";11;"1,201";183;"1,394"
"=""13:15""";0;246;11;100;8;0;149;
"=""13:30""";"1,433";2;7;"1,441";6;"1,433";220;"1,659"
"=""13:45""";"1,248";173;4;"1,426";3;"1,248";85;"1,337"
"=""14:00""";"1,507";0;7;"1,514";6;"1,507";512;"2,025"
"=""14:15""";"1,420";0;18;"1,437";17;"1,420";874;"2,311"
"=""14:30""";"1,047";447;4;"1,498";2;"1,047";3;"1,052"
"=""14:45""";"1,084";93;30;"1,206";32;"1,084";748;"1,864"
"=""15:00""";"1,364";26;47;"1,437";48;"1,364";"1,149";"2,561"
"=""15:15""";377;0;12;389;11;377;998;"1,387"
"=""15:30""";0;0;13;;17;0;"2,782";
"=""15:45""";0;0;28;;28;0;"2,133";"1,143"
"=""16:00""";646;0;23;669;21;646;"2,909";"3,575"
"=""16:15""";645;0;43;687;44;645;"1,801";"2,489"
"=""16:30""";768;25;24;817;20;768;"1,612";"2,399"
"=""16:45""";781;0;15;796;15;781;"1,615";"2,411"
"=""17:00""";798;4;22;823;22;798;"1,083";"1,903"
"=""17:15""";908;65;21;993;19;908;751;"1,678"
"=""17:30""";854;85;17;956;16;854;363;"1,233"
"=""17:45""";0;663;3;663;3;0;0;
"=""18:00""";458;389;2;850;3;458;0;461
"=""18:15""";331;448;3;782;2;331;0;333
"=""18:30""";0;522;3;523;2;0;0;
"=""18:45""";14;"1,831";70;"1,915";28;14;0;42
"=""19:00""";0;"1,940";103;"2,031";27;0;0;15
"=""19:15""";0;"1,599";144;"1,685";59;0;0;0
"=""19:30""";0;"1,934";101;"1,983";52;0;0;0
"=""19:45""";0;"1,897";140;"1,992";45;0;0;0
"=""20:00""";0;"1,627";38;"1,635";30;0;0;0
"=""20:15""";0;869;6;869;6;0;0;0
"=""20:30""";0;"1,642";6;"1,645";2;0;0;0
"=""20:45""";0;"1,676";2;"1,673";5;0;0;0
"=""21:00""";0;547;3;546;3;0;0;0
"=""21:15""";0;544;4;544;4;0;0;0
"=""21:30""";0;519;3;518;3;0;0;0
"=""21:45""";0;98;404;502;0;0;0;0
"=""22:00""";0;0;387;387;0;0;0;0
"=""22:15""";0;0;315;315;0;0;0;0
"=""22:30""";0;0;372;372;0;0;0;0
"=""22:45""";0;0;384;384;0;0;0;0
"=""23:00""";0;0;518;518;0;0;0;0
"=""23:15""";0;0;510;510;0;0;0;0
"=""23:30""";0;0;419;419;0;0;0;0
"=""23:45""";0;0;370;370;0;0;0;0
"=""00:00""";0;0;367;367;0;0;0;0
