 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;0;368;368;0;0;0;0
"=""00:30""";0;0;370;370;0;0;0;0
"=""00:45""";0;0;391;391;0;0;0;0
"=""01:00""";0;0;420;420;0;0;0;0
"=""01:15""";0;0;352;352;0;0;0;0
"=""01:30""";0;0;301;301;0;0;0;0
"=""01:45""";0;0;293;293;0;0;0;0
"=""02:00""";0;0;317;317;0;0;0;0
"=""02:15""";0;0;366;366;0;0;0;0
"=""02:30""";0;0;376;376;0;0;0;0
"=""02:45""";0;0;480;480;0;0;0;0
"=""03:00""";0;0;476;476;0;0;0;0
"=""03:15""";0;0;330;330;0;0;0;0
"=""03:30""";0;0;295;295;0;0;0;0
"=""03:45""";0;0;296;296;0;0;0;0
"=""04:00""";0;0;317;317;0;0;0;0
"=""04:15""";0;0;366;366;0;0;0;0
"=""04:30""";0;0;409;409;0;0;0;0
"=""04:45""";0;0;415;415;0;0;0;0
"=""05:00""";0;0;402;402;0;0;0;0
"=""05:15""";0;0;289;289;0;0;0;0
"=""05:30""";0;0;289;289;0;0;0;0
"=""05:45""";0;0;289;289;0;0;0;0
"=""06:00""";0;0;318;318;0;0;0;0
"=""06:15""";0;0;385;385;0;0;0;0
"=""06:30""";0;0;408;408;0;0;0;0
"=""06:45""";0;0;462;462;0;0;0;0
"=""07:00""";0;0;353;353;0;0;0;0
"=""07:15""";0;0;327;327;0;0;0;0
"=""07:30""";38;0;294;332;0;38;0;38
"=""07:45""";110;0;720;830;0;110;0;110
"=""08:00""";104;0;901;"1,005";0;104;0;104
"=""08:15""";74;0;432;506;0;74;0;74
"=""08:30""";135;0;343;478;0;135;0;135
"=""08:45""";342;0;2;344;5;342;254;601
"=""09:00""";254;0;1;256;1;254;275;531
"=""09:15""";207;0;1;208;2;207;505;713
"=""09:30""";244;0;1;245;2;244;750;996
"=""09:45""";334;0;4;337;4;334;"1,171";"1,509"
"=""10:00""";"1,933";8;16;"1,956";13;"1,933";663;"2,608"
"=""10:15""";"1,256";0;21;"1,277";22;"1,256";"1,305";"2,583"
"=""10:30""";436;0;32;468;33;436;"1,589";"2,058"
"=""10:45""";463;0;19;482;18;463;"2,670";"3,151"
"=""11:00""";400;0;44;444;43;400;"2,309";"2,752"
"=""11:15""";618;0;21;639;22;618;"1,408";"2,048"
"=""11:30""";0;0;11;;11;0;"2,826";0
"=""11:45""";393;0;37;430;40;393;"1,612";"2,045"
"=""12:00""";393;0;31;424;28;393;"2,080";"2,501"
"=""12:15""";"1,028";12;29;"1,069";29;"1,028";990;"2,047"
"=""12:30""";"1,173";43;17;"1,233";14;"1,173";"1,320";"2,506"
"=""12:45""";"1,311";61;39;"1,411";37;"1,311";"1,314";"2,661"
"=""13:00""";"1,475";168;8;"1,651";6;"1,475";51;"1,532"
"=""13:15""";"1,600";94;6;"1,699";6;"1,600";180;"1,786"
"=""13:30""";"1,773";152;47;"1,972";31;"1,773";289;"2,093"
"=""13:45""";"1,454";541;88;"2,083";65;"1,454";74;"1,593"
"=""14:00""";907;386;107;"1,399";99;907;447;"1,453"
"=""14:15""";"1,403";"1,055";118;"2,577";116;"1,403";54;"1,573"
"=""14:30""";"1,307";965;80;"2,352";73;"1,307";0;"1,380"
"=""14:45""";0;"1,748";51;"1,764";35;0;0;0
"=""15:00""";"1,865";"1,775";227;"3,866";51;"1,865";38;"1,954"
"=""15:15""";"1,582";"2,289";457;"4,328";58;"1,582";153;"1,793"
"=""15:30""";"1,256";"1,864";171;"3,292";45;"1,256";0;"1,302"
"=""15:45""";"2,358";"1,405";196;"3,960";32;"2,358";346;"2,737"
"=""16:00""";"1,624";950;37;"2,611";39;"1,624";330;"1,993"
"=""16:15""";"1,081";692;25;"1,798";23;"1,081";328;"1,433"
"=""16:30""";"1,283";574;26;"1,884";25;"1,283";621;"1,929"
"=""16:45""";"1,340";661;26;"2,026";28;"1,340";445;"1,812"
"=""17:00""";843;168;12;"1,022";13;843;348;"1,203"
"=""17:15""";553;2;9;565;10;553;"1,237";"1,800"
"=""17:30""";391;0;7;399;7;391;"1,109";"1,507"
"=""17:45""";389;80;10;479;7;389;292;688
"=""18:00""";363;109;4;476;4;363;108;476
"=""18:15""";397;6;4;406;3;397;206;606
"=""18:30""";325;45;5;376;2;325;39;366
"=""18:45""";175;221;1;397;1;175;0;176
"=""19:00""";23;370;1;394;1;23;0;24
"=""19:15""";0;314;1;314;1;0;0;0
"=""19:30""";0;312;1;312;1;0;0;0
"=""19:45""";0;297;1;297;1;0;0;0
"=""20:00""";0;339;1;339;1;0;0;0
