 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""20:15""";0;334;1;334;1;0;0;0
"=""20:30""";0;335;1;335;1;0;0;0
"=""20:45""";0;324;1;325;1;0;0;0
"=""21:00""";0;311;1;311;1;0;0;0
"=""21:15""";0;309;1;309;1;0;0;0
"=""21:30""";0;484;6;485;5;0;0;0
"=""21:45""";0;532;1;532;1;0;0;0
"=""22:00""";0;839;5;843;1;0;0;0
"=""22:15""";0;"1,354";5;"1,355";5;0;0;0
"=""22:30""";0;"1,122";1;"1,119";5;0;0;0
"=""22:45""";0;"1,049";448;"1,495";1;0;0;0
"=""23:00""";0;0;453;453;0;0;0;0
"=""23:15""";0;0;361;361;0;0;0;0
"=""23:30""";0;0;317;317;0;0;0;0
"=""23:45""";0;0;"1,929";"1,929";0;0;0;0
"=""00:00""";0;0;924;924;0;0;0;0
