 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;0;354;354;0;0;0;0
"=""00:30""";0;0;358;358;0;0;0;0
"=""00:45""";0;0;392;392;0;0;0;0
"=""01:00""";0;0;354;354;0;0;0;0
"=""01:15""";0;0;336;336;0;0;0;0
"=""01:30""";0;0;331;331;0;0;0;0
"=""01:45""";0;0;299;299;0;0;0;0
"=""02:00""";0;0;356;356;0;0;0;0
"=""02:15""";0;0;358;358;0;0;0;0
"=""02:30""";0;0;359;359;0;0;0;0
"=""02:45""";0;0;371;371;0;0;0;0
"=""03:00""";0;0;351;351;0;0;0;0
"=""03:15""";0;0;338;338;0;0;0;0
"=""03:30""";0;0;315;315;0;0;0;0
"=""03:45""";0;0;322;322;0;0;0;0
"=""04:00""";0;0;366;366;0;0;0;0
"=""04:15""";0;0;362;362;0;0;0;0
"=""04:30""";0;0;356;356;0;0;0;0
"=""04:45""";0;0;334;334;0;0;0;0
"=""05:00""";0;0;333;333;0;0;0;0
"=""05:15""";0;0;326;326;0;0;0;0
"=""05:30""";0;0;301;301;0;0;0;0
"=""05:45""";0;0;353;353;0;0;0;0
"=""06:00""";0;0;357;357;0;0;0;0
"=""06:15""";0;0;379;379;0;0;0;0
"=""06:30""";0;0;369;369;0;0;0;0
"=""06:45""";0;0;407;407;0;0;0;0
"=""07:00""";0;0;417;417;0;0;0;0
"=""07:15""";18;0;313;331;0;18;0;18
"=""07:30""";68;0;310;378;0;68;0;68
"=""07:45""";84;0;314;398;0;84;0;84
"=""08:00""";120;0;862;982;0;120;0;120
"=""08:15""";151;0;299;450;0;151;0;151
"=""08:30""";0;0;246;246;0;0;0;
"=""08:45""";325;0;170;495;0;325;0;325
"=""09:00""";408;0;42;450;10;408;98;516
"=""09:15""";377;0;2;379;3;377;347;726
"=""09:30""";362;0;2;364;2;362;428;792
"=""09:45""";359;0;2;361;3;359;559;920
"=""10:00""";224;0;2;226;3;224;716;942
"=""10:15""";257;0;4;261;3;257;730;991
"=""10:30""";723;39;5;767;3;723;247;974
"=""10:45""";823;318;3;"1,145";2;823;0;825
"=""11:00""";895;334;2;"1,231";2;895;0;896
"=""11:15""";841;423;3;"1,267";3;841;0;844
"=""11:30""";667;631;2;"1,300";2;667;0;669
"=""11:45""";526;559;209;"1,294";2;526;0;528
"=""12:00""";303;0;965;"1,268";0;303;0;303
"=""12:15""";254;0;"1,186";"1,440";0;254;0;254
"=""12:30""";296;0;"1,178";"1,474";0;296;0;296
"=""12:45""";444;0;"1,270";"1,714";0;444;0;444
"=""13:00""";381;0;"1,231";"1,612";0;381;0;381
"=""13:15""";253;0;"1,241";"1,494";0;253;0;253
"=""13:30""";302;0;"1,825";"2,127";0;302;0;302
"=""13:45""";297;0;"2,587";"2,884";0;297;0;297
"=""14:00""";246;0;"1,132";"1,378";0;246;0;246
"=""14:15""";308;0;329;637;0;308;0;308
"=""14:30""";425;0;120;545;0;425;0;425
"=""14:45""";422;0;62;484;3;422;49;474
"=""15:00""";466;0;233;698;11;466;25;501
"=""15:15""";535;0;46;582;27;535;68;630
"=""15:30""";472;0;620;"1,092";2;472;167;641
"=""15:45""";303;0;"1,068";"1,371";0;303;0;303
"=""16:00""";92;0;813;905;0;92;0;92
"=""16:15""";0;0;415;415;0;0;0;
"=""16:30""";0;0;333;333;0;0;0;
"=""16:45""";0;0;"1,944";"1,944";0;0;0;
"=""17:00""";182;0;859;"1,041";0;182;0;182
"=""17:15""";0;0;328;328;0;0;0;
"=""17:30""";92;0;298;390;0;92;0;92
"=""17:45""";27;0;367;394;0;27;0;27
"=""18:00""";3;0;401;404;0;3;0;3
"=""18:15""";15;0;345;360;0;15;0;15
"=""18:30""";0;0;365;365;0;0;0;0
"=""18:45""";0;0;367;367;0;0;0;0
"=""19:00""";0;0;368;368;0;0;0;0
"=""19:15""";0;0;380;380;0;0;0;0
"=""19:30""";0;0;339;339;0;0;0;0
"=""19:45""";0;0;337;337;0;0;0;0
"=""20:00""";0;0;341;341;0;0;0;0
"=""20:15""";0;0;"2,323";"2,323";0;0;0;0
"=""20:30""";0;0;"1,546";"1,546";0;0;0;0
"=""20:45""";0;0;"1,316";"1,316";0;0;0;0
"=""21:00""";0;0;631;631;0;0;0;0
"=""21:15""";0;0;492;492;0;0;0;0
"=""21:30""";0;0;526;526;0;0;0;0
"=""21:45""";0;0;568;568;0;0;0;0
"=""22:00""";0;0;422;422;0;0;0;0
"=""22:15""";0;0;451;451;0;0;0;0
"=""22:30""";0;0;486;486;0;0;0;0
"=""22:45""";0;0;496;496;0;0;0;0
"=""23:00""";0;0;514;514;0;0;0;0
"=""23:15""";0;0;550;550;0;0;0;0
"=""23:30""";0;0;543;543;0;0;0;0
"=""23:45""";0;0;313;313;0;0;0;0
"=""00:00""";0;0;292;292;0;0;0;0
