 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;480;1;480;2;0;0;0
"=""00:30""";0;376;1;376;1;0;0;0
"=""00:45""";0;415;2;415;2;0;0;0
"=""01:00""";0;431;1;430;2;0;0;0
"=""01:15""";0;420;1;420;1;0;0;0
"=""01:30""";0;386;1;386;1;0;0;0
"=""01:45""";0;380;1;380;1;0;0;0
"=""02:00""";0;384;1;384;1;0;0;0
"=""02:15""";0;323;1;323;1;0;0;0
"=""02:30""";0;312;2;312;1;0;0;0
"=""02:45""";0;346;1;346;1;0;0;0
"=""03:00""";0;391;2;391;1;0;0;0
"=""03:15""";0;396;1;396;1;0;0;0
"=""03:30""";0;374;1;373;2;0;0;0
"=""03:45""";0;379;1;379;1;0;0;0
"=""04:00""";0;345;1;345;1;0;0;0
"=""04:15""";0;298;1;298;1;0;0;0
"=""04:30""";0;337;1;337;1;0;0;0
"=""04:45""";0;369;1;369;1;0;0;0
"=""05:00""";0;407;1;406;2;0;0;0
"=""05:15""";0;370;1;370;1;0;0;0
"=""05:30""";0;376;1;376;1;0;0;0
"=""05:45""";0;356;1;356;2;0;0;0
"=""06:00""";0;297;2;297;1;0;0;0
"=""06:15""";0;314;2;314;2;0;0;0
"=""06:30""";0;353;1;353;1;0;0;0
"=""06:45""";0;409;1;409;1;0;0;0
"=""07:00""";0;378;2;379;1;0;0;0
"=""07:15""";0;365;1;365;1;0;0;0
"=""07:30""";0;346;1;346;2;0;0;0
"=""07:45""";0;426;3;428;1;0;0;0
"=""08:00""";0;"1,290";48;"1,314";48;0;0;24
"=""08:15""";73;725;6;803;2;73;0;75
"=""08:30""";145;295;1;442;5;145;0;150
"=""08:45""";221;209;1;432;2;221;0;223
"=""09:00""";557;48;6;610;6;557;194;757
"=""09:15""";413;19;11;443;10;413;155;578
"=""09:30""";0;0;12;;11;0;667;0
"=""09:45""";0;0;17;;17;0;588;0
"=""10:00""";0;28;18;;16;0;366;
"=""10:15""";0;21;20;;20;0;628;
"=""10:30""";0;1;51;;51;0;954;
"=""10:45""";0;0;53;;53;0;864;
"=""11:00""";0;0;62;;61;0;775;
"=""11:15""";0;0;79;;82;0;"2,290";0
"=""11:30""";0;0;75;;76;0;"1,800";"1,162"
"=""11:45""";0;785;26;433;23;0;354;0
"=""12:00""";0;318;32;;28;0;"1,011";0
"=""12:15""";0;64;50;;49;0;632;0
"=""12:30""";0;5;40;;45;0;978;501
"=""12:45""";0;2;73;;73;0;"2,401";0
"=""13:00""";0;0;63;;63;0;"2,939";"1,328"
"=""13:15""";691;0;50;740;47;691;"2,333";"3,071"
"=""13:30""";0;3;48;;48;0;"1,540";0
"=""13:45""";"1,806";4;36;"1,846";35;"1,806";736;"2,577"
"=""14:00""";82;252;26;361;26;82;644;752
"=""14:15""";"1,867";65;28;"1,960";31;"1,867";"1,859";"3,757"
"=""14:30""";0;0;34;;34;0;"2,452";0
"=""14:45""";584;37;32;654;27;584;682;"1,293"
"=""15:00""";286;67;28;381;28;286;752;"1,066"
"=""15:15""";0;778;16;739;20;0;35;0
"=""15:30""";0;562;22;265;17;0;302;
"=""15:45""";0;141;43;;39;0;588;0
"=""16:00""";819;703;14;"1,536";17;819;90;926
"=""16:15""";975;2;31;"1,008";31;975;"1,099";"2,105"
"=""16:30""";0;106;41;;38;0;609;
"=""16:45""";0;67;54;;54;0;889;
"=""17:00""";0;209;19;71;14;0;143;0
"=""17:15""";428;"1,861";7;"2,296";6;428;0;434
"=""17:30""";950;"1,681";4;"2,634";9;950;28;987
"=""17:45""";491;0;4;495;2;491;286;778
"=""18:00""";0;25;2;;2;0;87;0
"=""18:15""";0;0;3;;3;0;394;0
"=""18:30""";0;0;2;;2;0;359;0
"=""18:45""";71;0;3;74;5;71;320;397
"=""19:00""";0;69;16;;11;0;577;491
"=""19:15""";0;"1,827";454;"2,272";9;0;0;
"=""19:30""";122;"1,655";3;"1,780";3;122;0;125
"=""19:45""";0;"1,878";2;"1,878";1;0;0;0
"=""20:00""";0;"1,916";2;"1,915";3;0;0;0
"=""20:15""";0;"1,905";5;"1,905";4;0;0;0
"=""20:30""";0;"1,940";5;"1,940";5;0;0;0
"=""20:45""";0;"1,961";5;"1,961";5;0;0;0
"=""21:00""";0;"1,951";4;"1,950";4;0;0;0
"=""21:15""";0;"1,881";4;"1,881";4;0;0;0
"=""21:30""";0;"1,901";5;"1,901";4;0;0;0
"=""21:45""";0;"1,887";4;"1,887";4;0;0;0
"=""22:00""";0;"1,896";5;"1,897";4;0;0;0
"=""22:15""";0;"1,919";3;"1,919";3;0;0;0
"=""22:30""";0;579;"1,237";"1,815";0;0;0;0
"=""22:45""";0;0;"1,800";"1,800";0;0;0;0
"=""23:00""";0;0;"1,836";"1,836";0;0;0;0
"=""23:15""";0;0;"1,809";"1,809";0;0;0;0
"=""23:30""";0;0;"1,781";"1,781";0;0;0;0
"=""23:45""";0;0;"1,737";"1,737";0;0;0;0
"=""00:00""";0;0;"1,756";"1,756";0;0;0;0
