 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;0;331;331;0;0;0;0
"=""00:30""";0;0;283;283;0;0;0;0
"=""00:45""";0;0;286;286;0;0;0;0
"=""01:00""";0;0;389;389;0;0;0;0
"=""01:15""";0;0;541;541;0;0;0;0
"=""01:30""";0;0;426;426;0;0;0;0
"=""01:45""";0;0;415;415;0;0;0;0
"=""02:00""";0;0;405;405;0;0;0;0
"=""02:15""";0;0;353;353;0;0;0;0
"=""02:30""";0;0;281;281;0;0;0;0
"=""02:45""";0;0;281;281;0;0;0;0
"=""03:00""";0;0;388;388;0;0;0;0
"=""03:15""";0;0;398;398;0;0;0;0
"=""03:30""";0;0;386;386;0;0;0;0
"=""03:45""";0;0;339;339;0;0;0;0
"=""04:00""";0;0;282;282;0;0;0;0
"=""04:15""";0;0;280;280;0;0;0;0
"=""04:30""";0;0;331;331;0;0;0;0
"=""04:45""";0;0;383;383;0;0;0;0
"=""05:00""";0;0;399;399;0;0;0;0
"=""05:15""";0;0;376;376;0;0;0;0
"=""05:30""";0;0;283;283;0;0;0;0
"=""05:45""";0;0;279;279;0;0;0;0
"=""06:00""";0;0;328;328;0;0;0;0
"=""06:15""";0;0;356;356;0;0;0;0
"=""06:30""";0;0;362;362;0;0;0;0
"=""06:45""";0;0;426;426;0;0;0;0
"=""07:00""";0;0;389;389;0;0;0;0
"=""07:15""";0;0;377;377;0;0;0;0
"=""07:30""";0;0;821;821;0;0;0;0
"=""07:45""";0;0;267;267;0;0;0;0
"=""08:00""";0;0;123;123;0;0;0;0
"=""08:15""";0;0;21;10;4;0;7;0
"=""08:30""";0;0;124;66;1;0;57;0
"=""08:45""";0;0;42;;1;0;72;0
"=""09:00""";0;0;30;8;0;0;22;0
"=""09:15""";0;0;2;;3;0;260;0
"=""09:30""";0;0;2;;4;0;684;0
"=""09:45""";0;0;3;;4;0;"1,033";0
"=""10:00""";0;0;6;;5;0;"1,118";
"=""10:15""";0;;4;;29;0;;
"=""10:30""";0;;5;0;5;0;;
"=""10:45""";0;;5;0;5;0;;
"=""11:00""";0;;5;;7;0;;
"=""11:15""";0;;15;1;14;0;;
"=""11:30""";0;;20;;20;0;;
"=""11:45""";0;;15;0;15;0;;
"=""12:00""";0;;21;;22;0;;
"=""12:15""";0;;24;3;21;0;;
"=""12:30""";0;;31;;31;0;;
"=""12:45""";0;;36;;37;0;;
"=""13:00""";0;;21;0;21;0;;
"=""13:15""";0;;34;1;32;0;;
"=""13:30""";"2,988";;71;"3,059";71;"2,988";;"3,059"
"=""13:45""";"1,685";;31;"1,716";29;"1,685";;"1,714"
"=""14:00""";"3,133";;17;"3,151";20;"3,133";;"3,153"
"=""14:15""";"3,634";;13;"3,647";15;"3,634";;"3,649"
"=""14:30""";"3,640";;10;"3,650";10;"3,640";;"3,650"
"=""14:45""";"3,653";;16;"3,670";16;"3,653";;"3,669"
"=""15:00""";"2,967";;18;"2,985";17;"2,967";;"2,984"
"=""15:15""";"3,344";;11;"3,355";10;"3,344";;"3,354"
"=""15:30""";"2,243";;3;"2,246";880;"2,243";;"3,123"
"=""15:45""";464;;0;464;"1,821";464;;"2,285"
"=""16:00""";"1,657";;0;"1,657";"1,288";"1,657";;"2,945"
"=""16:15""";"1,849";;86;"1,935";902;"1,849";;"2,751"
"=""16:30""";"3,060";;9;"3,070";164;"3,060";;"3,224"
"=""16:45""";"2,350";;15;"2,365";32;"2,350";;"2,382"
"=""17:00""";0;;4;;"1,222";0;;0
"=""17:15""";0;;7;;955;0;;
"=""17:30""";342;;0;342;"1,510";342;;"1,852"
"=""17:45""";0;;0;;"1,336";0;;
"=""18:00""";0;;39;;677;0;;
"=""18:15""";"1,792";;6;"1,798";9;"1,792";;"1,801"
"=""18:30""";0;;0;;"1,154";0;;"1,070"
"=""18:45""";336;;0;336;"1,206";336;;"1,542"
"=""19:00""";245;;0;245;716;245;;961
"=""19:15""";0;;0;;316;0;;
"=""19:30""";299;;11;310;25;299;;324
"=""19:45""";271;;5;276;5;271;;276
"=""20:00""";189;;1;190;1;189;;190
"=""20:15""";0;;1;0;1;0;;0
"=""20:30""";27;;2;28;1;27;;28
"=""20:45""";0;;1;;1;0;;0
"=""21:00""";0;;2;0;2;0;;0
"=""21:15""";0;;1;;2;0;;0
"=""21:30""";0;;1;0;1;0;;0
"=""21:45""";0;;2;0;2;0;;0
"=""22:00""";0;;4;;4;0;;0
"=""22:15""";0;;5;0;5;0;;0
"=""22:30""";0;;4;;4;0;;0
"=""22:45""";0;;1;0;1;0;;0
"=""23:00""";0;;1;0;1;0;;0
"=""23:15""";0;;1;0;1;0;;0
"=""23:30""";0;;1;0;1;0;;0
"=""23:45""";0;;1;0;1;0;;0
"=""00:00""";0;;1;0;1;0;;0
