 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;0;"1,820";"1,820";0;0;0;0
"=""00:30""";0;0;"1,738";"1,738";0;0;0;0
"=""00:45""";0;0;"1,693";"1,693";0;0;0;0
"=""01:00""";0;0;"1,658";"1,658";0;0;0;0
"=""01:15""";0;0;"1,661";"1,661";0;0;0;0
"=""01:30""";0;0;"1,718";"1,718";0;0;0;0
"=""01:45""";0;0;"1,765";"1,765";0;0;0;0
"=""02:00""";0;0;"1,765";"1,765";0;0;0;0
"=""02:15""";0;0;"1,738";"1,738";0;0;0;0
"=""02:30""";0;0;"1,662";"1,662";0;0;0;0
"=""02:45""";0;0;"1,670";"1,670";0;0;0;0
"=""03:00""";0;0;"1,669";"1,669";0;0;0;0
"=""03:15""";0;0;"1,739";"1,739";0;0;0;0
"=""03:30""";0;0;"1,782";"1,782";0;0;0;0
"=""03:45""";0;0;"1,793";"1,793";0;0;0;0
"=""04:00""";0;0;"1,755";"1,755";0;0;0;0
"=""04:15""";0;0;"1,691";"1,691";0;0;0;0
"=""04:30""";0;0;"1,695";"1,695";0;0;0;0
"=""04:45""";0;0;"1,699";"1,699";0;0;0;0
"=""05:00""";0;0;"1,769";"1,769";0;0;0;0
"=""05:15""";0;0;"1,796";"1,796";0;0;0;0
"=""05:30""";0;0;"1,829";"1,829";0;0;0;0
"=""05:45""";0;0;"1,779";"1,779";0;0;0;0
"=""06:00""";0;0;"1,823";"1,823";0;0;0;0
"=""06:15""";0;0;"1,811";"1,811";0;0;0;0
"=""06:30""";0;0;"1,786";"1,786";0;0;0;0
"=""06:45""";0;0;"1,846";"1,846";0;0;0;0
"=""07:00""";3;0;"1,574";"1,577";0;3;0;3
"=""07:15""";62;0;473;535;0;62;0;62
"=""07:30""";125;0;318;443;0;125;0;125
"=""07:45""";197;0;425;622;0;197;0;197
"=""08:00""";261;0;"1,026";"1,287";0;261;0;261
"=""08:15""";323;0;659;982;0;323;0;323
"=""08:30""";444;0;334;778;0;444;0;444
"=""08:45""";564;0;220;784;0;564;0;564
"=""09:00""";540;0;298;838;0;540;0;540
"=""09:15""";577;0;342;919;0;577;0;577
"=""09:30""";619;0;723;"1,342";0;619;0;619
"=""09:45""";573;0;492;"1,065";41;573;240;853
"=""10:00""";545;108;322;976;59;545;332;937
"=""10:15""";520;194;97;810;83;520;623;"1,226"
"=""10:30""";541;287;110;939;79;541;460;"1,080"
"=""10:45""";880;599;27;"1,506";19;880;212;"1,111"
"=""11:00""";"1,380";220;"1,274";"2,874";25;"1,380";14;"1,419"
"=""11:15""";"1,153";0;151;"1,304";13;"1,153";"1,209";"2,375"
"=""11:30""";"1,228";91;87;"1,405";98;"1,228";"1,338";"2,664"
"=""11:45""";"1,052";137;96;"1,285";86;"1,052";563;"1,702"
"=""12:00""";"1,274";156;102;"1,532";106;"1,274";837;"2,217"
"=""12:15""";"1,557";250;84;"1,891";70;"1,557";587;"2,214"
"=""12:30""";"1,692";17;9;"1,717";8;"1,692";330;"2,029"
"=""12:45""";"1,802";0;9;"1,811";10;"1,802";897;"2,709"
"=""13:00""";"1,880";21;10;"1,911";9;"1,880";444;"2,333"
"=""13:15""";"1,891";9;6;"1,906";6;"1,891";155;"2,052"
"=""13:30""";"1,199";27;8;"1,234";5;"1,199";43;"1,247"
"=""13:45""";"1,602";1;6;"1,610";7;"1,602";438;"2,047"
"=""14:00""";"1,482";0;6;"1,488";5;"1,482";583;"2,070"
"=""14:15""";"1,232";241;7;"1,480";5;"1,232";10;"1,247"
"=""14:30""";"1,074";"1,053";31;"2,158";28;"1,074";0;"1,102"
"=""14:45""";"1,401";720;39;"2,160";40;"1,401";0;"1,441"
"=""15:00""";"1,410";976;107;"2,494";108;"1,410";0;"1,518"
"=""15:15""";"1,136";"1,074";92;"2,302";89;"1,136";0;"1,225"
"=""15:30""";790;"1,240";78;"2,108";77;790;0;867
"=""15:45""";"1,244";500;609;"2,353";34;"1,244";0;"1,278"
"=""16:00""";0;0;"1,095";"1,094";0;0;1;
"=""16:15""";0;0;"1,912";"1,912";0;0;0;
"=""16:30""";0;0;"2,534";"2,534";0;0;0;0
"=""16:45""";129;0;"2,225";"2,354";0;129;0;129
"=""17:00""";262;0;587;849;0;262;0;262
"=""17:15""";105;0;836;941;0;105;0;105
"=""17:30""";0;0;870;870;0;0;0;
"=""17:45""";106;0;922;"1,028";0;106;0;106
"=""18:00""";55;0;995;"1,050";0;55;0;55
"=""18:15""";17;0;"2,667";"2,684";0;17;0;17
