 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""18:30""";0;0;"1,950";"1,950";0;0;0;0
"=""18:45""";0;0;"1,033";"1,033";0;0;0;0
"=""19:00""";0;0;490;490;0;0;0;0
"=""19:15""";0;0;426;426;0;0;0;0
"=""19:30""";0;0;456;456;0;0;0;0
"=""19:45""";0;0;613;613;0;0;0;0
"=""20:00""";0;0;607;607;0;0;0;0
"=""20:15""";0;0;567;567;0;0;0;0
"=""20:30""";0;0;503;503;0;0;0;0
"=""20:45""";0;0;467;467;0;0;0;0
"=""21:00""";0;0;414;414;0;0;0;0
"=""21:15""";0;0;424;424;0;0;0;0
"=""21:30""";0;0;463;463;0;0;0;0
"=""21:45""";0;0;505;505;0;0;0;0
"=""22:00""";0;0;462;462;0;0;0;0
"=""22:15""";0;0;367;367;0;0;0;0
"=""22:30""";0;0;294;294;0;0;0;0
"=""22:45""";0;0;291;291;0;0;0;0
"=""23:00""";0;0;311;311;0;0;0;0
"=""23:15""";0;0;357;357;0;0;0;0
"=""23:30""";0;0;405;405;0;0;0;0
"=""23:45""";0;0;393;393;0;0;0;0
"=""00:00""";0;0;316;316;0;0;0;0
