 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;385;1;385;1;0;0;0
"=""00:30""";0;384;1;384;1;0;0;0
"=""00:45""";0;307;1;307;1;0;0;0
"=""01:00""";0;264;1;264;1;0;0;0
"=""01:15""";0;262;1;262;1;0;0;0
"=""01:30""";0;312;1;312;1;0;0;0
"=""01:45""";0;331;1;330;1;0;0;0
"=""02:00""";0;339;1;339;1;0;0;0
"=""02:15""";0;375;1;375;1;0;0;0
"=""02:30""";0;309;1;309;1;0;0;0
"=""02:45""";0;308;1;308;1;0;0;0
"=""03:00""";0;267;1;266;1;0;0;0
"=""03:15""";0;52;273;325;0;0;0;0
"=""03:30""";0;0;340;340;0;0;0;0
"=""03:45""";0;0;368;368;0;0;0;0
"=""04:00""";0;0;360;360;0;0;0;0
"=""04:15""";0;0;311;311;0;0;0;0
"=""04:30""";0;0;316;316;0;0;0;0
"=""04:45""";0;0;349;349;0;0;0;0
"=""05:00""";0;0;923;923;0;0;0;0
"=""05:15""";0;0;537;537;0;0;0;0
"=""05:30""";0;0;533;533;0;0;0;0
"=""05:45""";0;0;411;411;0;0;0;0
"=""06:00""";0;0;349;349;0;0;0;0
"=""06:15""";0;0;503;503;0;0;0;0
"=""06:30""";0;0;398;398;0;0;0;0
"=""06:45""";0;0;304;304;0;0;0;0
"=""07:00""";0;0;338;338;0;0;0;0
"=""07:15""";45;0;274;319;0;45;0;45
"=""07:30""";111;0;211;322;0;111;0;111
"=""07:45""";177;0;142;319;0;177;0;177
"=""08:00""";153;0;150;303;0;153;0;153
"=""08:15""";126;0;146;272;0;126;0;126
"=""08:30""";130;0;161;291;0;130;0;130
"=""08:45""";179;0;105;284;0;179;0;179
"=""09:00""";139;0;160;299;3;139;1;143
"=""09:15""";272;0;41;313;0;272;31;303
"=""09:30""";219;0;95;314;0;219;0;219
"=""09:45""";197;0;118;315;0;197;0;197
"=""10:00""";244;0;1;245;4;244;93;341
"=""10:15""";242;0;1;243;1;242;146;389
"=""10:30""";293;0;1;294;1;293;196;490
"=""10:45""";220;0;2;221;2;220;276;497
"=""11:00""";322;6;6;334;1;322;64;387
"=""11:15""";270;32;1;303;2;270;74;345
"=""11:30""";304;0;1;305;1;304;361;667
"=""11:45""";277;0;2;279;1;277;382;661
"=""12:00""";231;0;2;233;1;231;226;458
"=""12:15""";189;0;4;193;2;189;198;389
"=""12:30""";285;0;1;286;1;285;349;635
"=""12:45""";329;0;3;332;1;329;188;518
"=""13:00""";338;0;3;341;3;338;601;942
"=""13:15""";309;0;2;311;3;309;730;"1,042"
"=""13:30""";308;0;3;311;2;308;667;977
"=""13:45""";757;672;6;"1,435";7;757;301;"1,064"
"=""14:00""";447;509;6;962;6;447;497;950
"=""14:15""";638;208;7;853;4;638;576;"1,219"
"=""14:30""";763;265;4;"1,032";7;763;797;"1,566"
"=""14:45""";408;0;3;411;4;408;"1,058";"1,470"
"=""15:00""";387;0;4;391;3;387;"1,215";"1,605"
"=""15:15""";347;0;4;351;4;347;"1,057";"1,408"
"=""15:30""";"1,163";494;9;"1,666";5;"1,163";388;"1,556"
"=""15:45""";611;424;3;"1,038";4;611;326;942
"=""16:00""";232;0;1;233;1;232;219;452
"=""16:15""";249;0;1;251;1;249;323;574
"=""16:30""";344;0;2;346;2;344;217;563
"=""16:45""";348;0;1;350;1;348;138;487
"=""17:00""";347;0;5;352;6;347;18;371
"=""17:15""";251;0;1;252;2;251;279;532
"=""17:30""";234;0;3;238;4;234;709;947
"=""17:45""";234;0;2;236;2;234;624;860
"=""18:00""";240;0;3;243;3;240;614;856
"=""18:15""";299;0;4;303;3;299;491;793
"=""18:30""";334;1;7;342;3;334;213;549
"=""18:45""";294;58;9;361;1;294;0;295
"=""19:00""";104;205;1;311;1;104;0;105
"=""19:15""";14;238;1;253;1;14;0;15
"=""19:30""";0;256;1;256;1;0;0;0
"=""19:45""";0;259;1;259;1;0;0;0
"=""20:00""";0;325;1;325;1;0;0;0
"=""20:15""";0;320;1;320;1;0;0;0
"=""20:30""";0;350;1;350;1;0;0;0
"=""20:45""";0;319;1;319;1;0;0;0
"=""21:00""";0;295;1;295;1;0;0;0
"=""21:15""";0;265;1;265;1;0;0;0
"=""21:30""";0;251;1;251;1;0;0;0
"=""21:45""";0;320;1;320;1;0;0;0
"=""22:00""";0;319;1;319;1;0;0;0
"=""22:15""";0;326;1;326;1;0;0;0
"=""22:30""";0;329;1;329;1;0;0;0
"=""22:45""";0;299;1;299;1;0;0;0
"=""23:00""";0;297;1;297;1;0;0;0
"=""23:15""";0;266;1;266;1;0;0;0
"=""23:30""";0;301;1;301;1;0;0;0
"=""23:45""";0;319;1;319;1;0;0;0
"=""00:00""";0;323;1;323;1;0;0;0
