 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;0;311;311;0;0;0;0
"=""00:30""";0;0;285;285;0;0;0;0
"=""00:45""";0;0;331;331;0;0;0;0
"=""01:00""";0;0;358;358;0;0;0;0
"=""01:15""";0;0;355;355;0;0;0;0
"=""01:30""";0;0;368;368;0;0;0;0
"=""01:45""";0;0;395;395;0;0;0;0
"=""02:00""";0;0;330;330;0;0;0;0
"=""02:15""";0;0;313;313;0;0;0;0
"=""02:30""";0;0;306;306;0;0;0;0
"=""02:45""";0;0;353;353;0;0;0;0
"=""03:00""";0;0;352;352;0;0;0;0
"=""03:15""";0;0;352;352;0;0;0;0
"=""03:30""";0;0;356;356;0;0;0;0
"=""03:45""";0;0;331;331;0;0;0;0
"=""04:00""";0;0;329;329;0;0;0;0
"=""04:15""";0;0;327;327;0;0;0;0
"=""04:30""";0;0;352;352;0;0;0;0
"=""04:45""";0;0;353;353;0;0;0;0
"=""05:00""";0;0;359;359;0;0;0;0
"=""05:15""";0;0;324;324;0;0;0;0
"=""05:30""";0;0;303;303;0;0;0;0
"=""05:45""";0;0;330;330;0;0;0;0
"=""06:00""";0;0;349;349;0;0;0;0
"=""06:15""";0;0;380;380;0;0;0;0
"=""06:30""";0;0;346;346;0;0;0;0
"=""06:45""";0;0;406;406;0;0;0;0
"=""07:00""";0;0;343;343;0;0;0;0
"=""07:15""";0;0;275;275;0;0;0;0
"=""07:30""";51;0;253;304;0;51;0;51
"=""07:45""";0;0;247;247;0;0;0;0
"=""08:00""";238;0;287;525;0;238;0;238
"=""08:15""";382;0;535;917;0;382;0;382
"=""08:30""";447;0;23;471;3;447;46;496
"=""08:45""";341;0;2;343;2;341;380;723
"=""09:00""";342;0;3;345;3;342;519;864
"=""09:15""";377;0;2;379;3;377;454;834
"=""09:30""";"1,091";283;6;"1,381";4;"1,091";273;"1,368"
"=""09:45""";"1,206";656;164;"2,026";15;"1,206";0;"1,221"
"=""10:00""";"1,414";0;720;"2,134";0;"1,414";0;"1,414"
"=""10:15""";"1,694";0;390;"2,084";8;"1,694";38;"1,740"
"=""10:30""";"1,685";0;438;"2,123";12;"1,685";139;"1,836"
"=""10:45""";"1,888";0;351;"2,240";7;"1,888";59;"1,954"
"=""11:00""";"1,902";401;180;"2,483";143;"1,902";409;"2,453"
"=""11:15""";"2,183";319;785;"3,288";41;"2,183";223;"2,447"
"=""11:30""";"2,703";0;"1,759";"4,462";0;"2,703";0;"2,703"
"=""11:45""";"2,404";0;"2,487";"4,890";20;"2,404";8;"2,431"
"=""12:00""";"2,079";0;895;"2,974";38;"2,079";122;"2,239"
"=""12:15""";"2,135";0;807;"2,942";3;"2,135";17;"2,155"
"=""12:30""";"1,795";0;943;"2,738";0;"1,795";0;"1,795"
"=""12:45""";"2,102";0;783;"2,885";0;"2,102";0;"2,102"
"=""13:00""";"2,122";0;"1,128";"3,250";0;"2,122";0;"2,122"
"=""13:15""";"2,441";0;569;"3,010";2;"2,441";0;"2,443"
"=""13:30""";"2,522";0;630;"3,152";0;"2,522";0;"2,522"
"=""13:45""";"2,329";0;702;"3,031";0;"2,329";0;"2,329"
"=""14:00""";"1,721";0;164;"1,885";36;"1,721";286;"2,043"
"=""14:15""";"1,486";0;6;"1,491";6;"1,486";681;"2,173"
"=""14:30""";848;0;5;853;5;848;"1,101";"1,954"
"=""14:45""";415;0;4;419;5;415;"1,432";"1,852"
"=""15:00""";346;0;4;350;4;346;"1,276";"1,626"
"=""15:15""";274;0;5;279;4;274;"1,280";"1,558"
"=""15:30""";356;0;5;361;6;356;"1,358";"1,720"
"=""15:45""";295;0;4;298;4;295;"1,468";"1,767"
"=""16:00""";360;0;4;364;3;360;961;"1,323"
"=""16:15""";386;0;3;389;3;386;728;"1,117"
"=""16:30""";349;0;3;352;2;349;674;"1,025"
"=""16:45""";0;0;3;;3;0;618;
"=""17:00""";292;0;2;295;2;292;545;839
"=""17:15""";0;;5;3;2;0;;
"=""17:30""";611;919;7;"1,536";9;611;339;958
"=""17:45""";706;319;7;"1,032";9;706;223;938
"=""18:00""";512;984;9;"1,505";6;512;23;541
"=""18:15""";220;219;4;443;2;220;2;224
"=""18:30""";242;189;3;433;2;242;0;244
"=""18:45""";85;358;2;444;2;85;0;87
"=""19:00""";20;"2,313";6;"2,340";2;20;0;22
"=""19:15""";0;721;1;718;5;0;0;0
"=""19:30""";0;496;3;497;2;0;0;0
"=""19:45""";0;499;2;500;2;0;0;0
"=""20:00""";0;446;2;446;2;0;0;0
"=""20:15""";0;434;2;434;2;0;0;0
"=""20:30""";0;457;3;457;3;0;0;0
"=""20:45""";0;479;3;479;3;0;0;0
"=""21:00""";0;490;3;490;3;0;0;0
"=""21:15""";0;448;3;448;3;0;0;0
"=""21:30""";0;436;5;436;5;0;0;0
"=""21:45""";0;435;4;435;4;0;0;0
"=""22:00""";0;47;363;409;0;0;0;0
"=""22:15""";0;0;397;397;0;0;0;0
"=""22:30""";0;0;383;383;0;0;0;0
"=""22:45""";0;0;382;382;0;0;0;0
"=""23:00""";0;0;311;311;0;0;0;0
"=""23:15""";0;0;298;298;0;0;0;0
"=""23:30""";0;0;326;326;0;0;0;0
"=""23:45""";0;0;408;408;0;0;0;0
"=""00:00""";0;0;409;409;0;0;0;0
