 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;290;1;290;1;0;0;0
"=""00:30""";0;283;1;283;1;0;0;0
"=""00:45""";0;260;1;260;1;0;0;0
"=""01:00""";0;251;1;251;1;0;0;0
"=""01:15""";0;245;1;245;1;0;0;0
"=""01:30""";0;357;1;357;2;0;0;0
"=""01:45""";0;338;1;339;1;0;0;0
"=""02:00""";0;343;1;343;1;0;0;0
"=""02:15""";0;369;1;369;1;0;0;0
"=""02:30""";0;311;1;311;1;0;0;0
"=""02:45""";0;309;1;308;1;0;0;0
"=""03:00""";0;242;1;242;1;0;0;0
"=""03:15""";0;254;1;255;1;0;0;0
"=""03:30""";0;268;1;268;1;0;0;0
"=""03:45""";0;244;1;244;1;0;0;0
"=""04:00""";0;245;1;246;1;0;0;0
"=""04:15""";0;289;1;288;1;0;0;0
"=""04:30""";0;332;1;333;1;0;0;0
"=""04:45""";0;365;1;364;1;0;0;0
"=""05:00""";0;313;1;313;1;0;0;0
"=""05:15""";0;315;1;316;1;0;0;0
"=""05:30""";0;359;1;359;1;0;0;0
"=""05:45""";0;267;1;267;1;0;0;0
"=""06:00""";0;255;2;256;1;0;0;0
"=""06:15""";0;350;1;350;1;0;0;0
"=""06:30""";0;323;1;323;1;0;0;0
"=""06:45""";0;309;1;309;1;0;0;0
"=""07:00""";0;237;1;237;1;0;0;0
"=""07:15""";0;236;1;236;1;0;0;0
"=""07:30""";0;238;1;238;1;0;0;0
"=""07:45""";23;244;1;268;1;23;0;24
"=""08:00""";61;267;1;330;1;61;0;62
"=""08:15""";72;393;39;504;35;72;0;107
"=""08:30""";214;656;6;876;3;214;0;217
"=""08:45""";298;"2,321";9;"2,628";10;298;0;308
"=""09:00""";520;842;31;"1,393";34;520;23;577
"=""09:15""";345;40;12;398;12;345;153;510
"=""09:30""";303;201;3;508;4;303;33;340
"=""09:45""";612;649;12;"1,273";5;612;241;857
"=""10:00""";442;"2,431";34;"2,906";35;442;0;477
"=""10:15""";500;"1,998";18;"2,515";18;500;0;518
"=""10:30""";268;856;34;"1,158";33;268;0;301
"=""10:45""";278;"1,119";8;"1,405";9;278;0;287
"=""11:00""";635;379;6;"1,020";7;635;18;660
"=""11:15""";771;0;5;775;5;771;411;"1,186"
"=""11:30""";725;2;6;733;5;725;236;966
"=""11:45""";787;4;5;796;3;787;251;"1,041"
"=""12:00""";605;60;4;670;4;605;235;844
"=""12:15""";343;0;2;346;3;343;487;834
"=""12:30""";358;0;2;360;1;358;311;670
"=""12:45""";329;0;2;332;3;329;524;856
"=""13:00""";235;0;1;236;2;235;535;772
"=""13:15""";232;0;3;235;2;232;658;892
"=""13:30""";234;0;2;236;2;234;387;623
"=""13:45""";261;0;2;263;2;261;335;598
"=""14:00""";304;0;3;307;3;304;603;910
"=""14:15""";348;0;3;350;3;348;484;834
"=""14:30""";355;0;2;357;4;355;601;960
"=""14:45""";321;0;4;325;3;321;681;"1,005"
"=""15:00""";240;0;3;243;4;240;868;"1,112"
"=""15:15""";238;0;15;254;16;238;"1,669";"1,923"
"=""15:30""";250;0;8;258;12;250;"1,631";"1,892"
"=""15:45""";272;0;31;302;27;272;"2,750";"3,049"
"=""16:00""";300;0;14;314;15;300;"1,145";"1,460"
"=""16:15""";710;0;21;731;19;710;"1,103";"1,832"
"=""16:30""";548;1;4;552;5;548;751;"1,303"
"=""16:45""";312;0;9;321;9;312;959;"1,281"
"=""17:00""";239;0;2;241;2;239;787;"1,028"
"=""17:15""";251;0;10;261;12;251;"1,795";"2,058"
"=""17:30""";228;0;29;258;27;228;"1,843";"2,098"
"=""17:45""";273;0;16;289;16;273;"1,157";"1,445"
"=""18:00""";301;0;13;314;12;301;"1,165";"1,478"
"=""18:15""";342;0;5;347;7;342;972;"1,321"
"=""18:30""";346;0;3;349;1;346;401;749
"=""18:45""";335;0;1;336;1;335;203;539
"=""19:00""";233;0;1;234;1;233;156;390
"=""19:15""";225;0;3;228;1;225;60;286
"=""19:30""";199;21;9;229;0;199;7;206
"=""19:45""";100;140;1;241;1;100;0;101
"=""20:00""";20;282;1;303;1;20;0;21
"=""20:15""";0;349;1;349;1;0;0;0
"=""20:30""";0;370;1;369;1;0;0;0
"=""20:45""";0;321;1;321;1;0;0;0
"=""21:00""";0;261;1;261;1;0;0;0
"=""21:15""";0;254;1;254;1;0;0;0
"=""21:30""";0;253;1;253;1;0;0;0
"=""21:45""";0;291;1;291;1;0;0;0
"=""22:00""";0;317;1;317;1;0;0;0
"=""22:15""";0;351;1;351;1;0;0;0
"=""22:30""";0;368;1;368;1;0;0;0
"=""22:45""";0;311;1;311;1;0;0;0
"=""23:00""";0;261;1;261;1;0;0;0
"=""23:15""";0;250;1;250;1;0;0;0
"=""23:30""";0;250;1;250;1;0;0;0
"=""23:45""";0;282;1;282;1;0;0;0
"=""00:00""";0;318;1;318;1;0;0;0
