 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;0;"1,816";"1,816";0;0;0;0
"=""00:30""";0;0;"1,822";"1,822";0;0;0;0
"=""00:45""";0;0;"1,839";"1,839";0;0;0;0
"=""01:00""";0;0;"1,882";"1,882";0;0;0;0
"=""01:15""";0;0;"1,787";"1,787";0;0;0;0
"=""01:30""";0;0;"1,748";"1,748";0;0;0;0
"=""01:45""";0;0;"1,724";"1,724";0;0;0;0
"=""02:00""";0;0;"1,752";"1,752";0;0;0;0
"=""02:15""";0;0;"1,806";"1,806";0;0;0;0
"=""02:30""";0;0;"1,810";"1,810";0;0;0;0
"=""02:45""";0;0;"1,858";"1,858";0;0;0;0
"=""03:00""";0;0;"1,862";"1,862";0;0;0;0
"=""03:15""";0;0;"1,797";"1,797";0;0;0;0
"=""03:30""";0;0;"1,762";"1,762";0;0;0;0
"=""03:45""";0;0;"1,766";"1,766";0;0;0;0
"=""04:00""";0;0;"1,811";"1,811";0;0;0;0
"=""04:15""";0;0;"1,821";"1,821";0;0;0;0
"=""04:30""";0;0;"1,127";"1,127";0;0;0;0
"=""04:45""";0;0;417;417;0;0;0;0
"=""05:00""";0;0;384;384;0;0;0;0
"=""05:15""";0;0;312;312;0;0;0;0
"=""05:30""";0;0;301;301;0;0;0;0
"=""05:45""";0;0;307;307;0;0;0;0
"=""06:00""";0;0;347;347;0;0;0;0
"=""06:15""";0;0;367;367;0;0;0;0
"=""06:30""";0;0;414;414;0;0;0;0
"=""06:45""";0;0;415;415;0;0;0;0
"=""07:00""";0;0;364;364;0;0;0;0
"=""07:15""";0;0;295;295;0;0;0;0
"=""07:30""";0;0;279;279;0;0;0;0
"=""07:45""";0;0;261;261;0;0;0;0
"=""08:00""";0;0;256;256;0;0;0;0
"=""08:15""";0;0;670;670;0;0;0;0
"=""08:30""";0;0;308;308;0;0;0;0
"=""08:45""";0;0;61;58;3;0;0;0
"=""09:00""";0;0;1;;2;0;220;0
"=""09:15""";0;0;2;;2;0;558;0
"=""09:30""";0;0;3;;3;0;848;0
"=""09:45""";0;0;2;;3;0;"1,122";0
"=""10:00""";0;0;4;;4;0;"1,329";0
"=""10:15""";0;0;3;;4;0;"1,543";0
"=""10:30""";0;0;5;;4;0;"1,779";0
"=""10:45""";0;0;4;;4;0;"2,051";0
"=""11:00""";0;0;5;;5;0;"2,344";0
"=""11:15""";0;0;9;;6;0;"2,264";0
"=""11:30""";0;0;10;;11;0;"1,845";"1,055"
"=""11:45""";0;6;13;;14;0;"2,161";0
"=""12:00""";0;0;18;;21;0;"2,083";0
"=""12:15""";0;0;36;;37;0;"2,415";0
"=""12:30""";0;0;42;;44;0;"2,267";0
"=""12:45""";0;408;46;;41;0;984;0
"=""13:00""";0;0;8;;11;0;"3,356";0
"=""13:15""";0;0;10;;7;0;"2,966";0
"=""13:30""";0;12;49;;45;0;"1,648";0
"=""13:45""";0;47;38;;35;0;"1,167";0
"=""14:00""";0;57;35;;35;0;"1,486";0
"=""14:15""";0;174;28;;27;0;"1,131";0
"=""14:30""";0;191;4;;221;0;422;0
"=""14:45""";0;22;0;;"2,340";0;11;0
"=""15:00""";0;0;0;;"2,402";0;0;0
"=""15:15""";0;107;23;;911;0;0;0
"=""15:30""";0;1;11;;"1,376";0;0;0
"=""15:45""";0;28;33;;"1,323";0;0;0
"=""16:00""";0;0;0;;"2,470";0;0;0
"=""16:15""";0;0;0;;"3,270";0;0;0
"=""16:30""";0;0;7;;"2,151";0;541;0
"=""16:45""";0;0;0;;"2,609";0;0;0
"=""17:00""";0;0;0;;"2,517";0;0;"1,947"
"=""17:15""";576;0;0;576;"2,648";576;0;"3,224"
"=""17:30""";0;0;0;;"2,279";0;0;0
"=""17:45""";378;0;0;378;"1,398";378;0;"1,776"
"=""18:00""";352;0;0;352;"1,524";352;0;"1,876"
"=""18:15""";371;0;0;371;"1,653";371;0;"2,024"
"=""18:30""";352;0;0;352;"1,236";352;0;"1,588"
"=""18:45""";411;0;0;411;321;411;0;732
"=""19:00""";477;0;0;477;367;477;0;844
"=""19:15""";364;"1,569";8;"1,941";24;364;0;388
"=""19:30""";383;"1,498";15;"1,895";12;383;1;396
"=""19:45""";489;933;19;"1,440";16;489;55;560
"=""20:00""";294;780;20;"1,094";19;294;3;316
"=""20:15""";55;"1,184";19;"1,258";20;55;0;75
"=""20:30""";0;"1,249";16;"1,248";18;0;0;0
"=""20:45""";0;471;1;471;1;0;0;0
"=""21:00""";0;407;2;407;2;0;0;0
"=""21:15""";0;506;4;507;3;0;0;0
"=""21:30""";0;575;3;575;3;0;0;0
"=""21:45""";0;557;5;558;4;0;0;0
"=""22:00""";0;433;3;432;4;0;0;0
"=""22:15""";0;290;2;291;1;0;0;0
"=""22:30""";0;288;1;288;1;0;0;0
"=""22:45""";0;300;1;300;1;0;0;0
"=""23:00""";0;365;2;366;2;0;0;0
"=""23:15""";0;402;1;402;1;0;0;0
"=""23:30""";0;402;1;402;1;0;0;0
"=""23:45""";0;352;1;352;1;0;0;0
"=""00:00""";0;283;1;283;1;0;0;0
