 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;265;1;265;1;0;0;0
"=""00:30""";0;264;1;264;1;0;0;0
"=""00:45""";0;315;1;315;1;0;0;0
"=""01:00""";0;371;1;371;1;0;0;0
"=""01:15""";0;386;1;386;1;0;0;0
"=""01:30""";0;385;1;385;1;0;0;0
"=""01:45""";0;348;1;348;1;0;0;0
"=""02:00""";0;335;1;335;1;0;0;0
"=""02:15""";0;265;1;265;1;0;0;0
"=""02:30""";0;269;1;269;1;0;0;0
"=""02:45""";0;275;1;275;0;0;0;0
"=""03:00""";0;373;1;373;1;0;0;0
"=""03:15""";0;383;0;383;0;0;0;0
"=""03:30""";0;379;1;379;1;0;0;0
"=""03:45""";0;345;1;345;1;0;0;0
"=""04:00""";0;336;1;336;1;0;0;0
"=""04:15""";0;290;1;290;1;0;0;0
"=""04:30""";0;259;1;259;1;0;0;0
"=""04:45""";0;258;1;258;1;0;0;0
"=""05:00""";0;322;1;322;1;0;0;0
"=""05:15""";0;380;1;380;1;0;0;0
"=""05:30""";0;383;1;383;1;0;0;0
"=""05:45""";0;351;1;351;1;0;0;0
"=""06:00""";0;315;1;315;1;0;0;0
"=""06:15""";0;261;1;261;1;0;0;0
"=""06:30""";0;260;1;260;1;0;0;0
"=""06:45""";0;328;1;329;1;0;0;0
"=""07:00""";0;437;1;436;1;0;0;0
"=""07:15""";0;428;1;428;1;0;0;0
"=""07:30""";0;433;1;433;1;0;0;0
"=""07:45""";0;397;1;397;1;0;0;0
"=""08:00""";0;262;1;261;1;0;0;0
"=""08:15""";98;217;2;316;1;98;0;99
"=""08:30""";108;156;1;264;1;108;0;109
"=""08:45""";0;170;21;175;17;0;0;0
"=""09:00""";195;1;3;200;2;195;54;252
"=""09:15""";768;83;5;856;4;768;37;809
"=""09:30""";396;11;5;412;4;396;75;475
"=""09:45""";"1,067";0;5;"1,072";5;"1,067";299;"1,371"
"=""10:00""";687;1;6;694;6;687;627;"1,320"
"=""10:15""";0;0;9;;7;0;"1,035";
"=""10:30""";818;0;6;823;6;818;"1,324";"2,148"
"=""10:45""";0;20;14;;11;0;"1,320";0
"=""11:00""";812;138;14;963;13;812;19;844
"=""11:15""";0;1;19;;21;0;"1,694";0
"=""11:30""";299;1;60;361;60;299;"2,119";"2,478"
"=""11:45""";0;0;14;;14;0;"2,666";0
"=""12:00""";655;0;10;665;10;655;"2,698";"3,363"
"=""12:15""";0;0;6;;6;0;"3,029";0
"=""12:30""";0;0;16;;15;0;"2,991";0
"=""12:45""";0;0;27;;27;0;"3,261";"1,881"
"=""13:00""";0;0;7;;6;0;"3,470";0
"=""13:15""";920;0;5;925;"1,158";920;"1,780";"3,858"
"=""13:30""";0;0;0;;"2,630";0;67;
"=""13:45""";0;0;0;;"2,730";0;0;0
"=""14:00""";0;0;0;;"2,720";0;0;
"=""14:15""";0;0;0;;"2,494";0;0;
"=""14:30""";0;0;0;;"2,662";0;0;
"=""14:45""";"1,254";0;0;"1,254";"2,543";"1,254";0;"3,797"
"=""15:00""";35;0;0;35;"2,276";35;0;"2,311"
"=""15:15""";0;0;0;;"2,367";0;0;"1,918"
"=""15:30""";"1,443";0;0;"1,443";"2,355";"1,443";0;"3,798"
"=""15:45""";0;0;0;;"2,096";0;0;"1,643"
"=""16:00""";753;348;31;"1,133";173;753;4;930
"=""16:15""";907;39;11;957;337;907;722;"1,966"
"=""16:30""";0;111;13;;181;0;1;
"=""16:45""";0;379;4;380;3;0;0;
"=""17:00""";267;786;2;"1,056";2;267;0;269
"=""17:15""";664;454;5;"1,123";7;664;157;828
"=""17:30""";0;346;7;169;4;0;181;0
"=""17:45""";221;"1,188";1;"1,411";1;221;0;222
"=""18:00""";0;"1,289";1;"1,289";1;0;0;
"=""18:15""";0;212;11;191;2;0;29;0
"=""18:30""";0;77;1;77;1;0;0;0
"=""18:45""";0;88;1;88;1;0;0;
"=""19:00""";0;96;1;96;1;0;0;
"=""19:15""";0;196;1;196;1;0;0;
"=""19:30""";13;310;1;324;1;13;0;14
"=""19:45""";36;299;1;336;1;36;0;37
"=""20:00""";0;404;2;404;1;0;0;0
"=""20:15""";0;571;5;570;6;0;0;0
"=""20:30""";0;437;1;437;1;0;0;0
"=""20:45""";0;421;1;420;2;0;0;0
"=""21:00""";0;511;1;511;1;0;0;0
"=""21:15""";0;529;1;529;1;0;0;0
"=""21:30""";0;422;1;422;1;0;0;0
"=""21:45""";0;363;1;363;1;0;0;0
"=""22:00""";0;357;1;357;1;0;0;0
"=""22:15""";0;328;1;328;1;0;0;0
"=""22:30""";0;277;1;277;1;0;0;0
"=""22:45""";0;313;1;312;1;0;0;0
"=""23:00""";0;323;1;323;1;0;0;0
"=""23:15""";0;384;1;384;1;0;0;0
"=""23:30""";0;350;1;349;1;0;0;0
"=""23:45""";0;354;1;354;1;0;0;0
"=""00:00""";0;345;1;345;1;0;0;0
