 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;;1;0;1;0;;0
"=""00:30""";0;;1;0;1;0;;0
"=""00:45""";0;;1;0;1;0;;0
"=""01:00""";0;;1;0;1;0;;0
"=""01:15""";0;;1;;2;0;;0
"=""01:30""";0;;1;0;1;0;;0
"=""01:45""";0;;2;0;2;0;;0
"=""02:00""";0;;1;0;1;0;;0
"=""02:15""";0;;1;0;1;0;;0
"=""02:30""";0;;1;0;1;0;;0
"=""02:45""";0;;1;0;1;0;;0
"=""03:00""";0;;1;;1;0;;0
"=""03:15""";0;;2;0;1;0;;0
"=""03:30""";0;;2;0;1;0;;0
"=""03:45""";0;;1;;1;0;;0
"=""04:00""";0;;1;0;1;0;;0
"=""04:15""";0;;1;0;1;0;;0
"=""04:30""";0;;1;0;1;0;;0
"=""04:45""";0;;1;0;1;0;;0
"=""05:00""";0;;2;0;2;0;;0
"=""05:15""";0;;1;0;1;0;;0
"=""05:30""";0;;1;0;1;0;;0
"=""05:45""";0;;2;0;1;0;;0
"=""06:00""";0;;1;0;1;0;;0
"=""06:15""";0;;1;;1;0;;0
"=""06:30""";0;;2;0;1;0;;0
"=""06:45""";0;;2;0;2;0;;0
"=""07:00""";0;;1;0;1;0;;0
"=""07:15""";0;;1;0;1;0;;0
"=""07:30""";50;;1;52;2;50;;52
"=""07:45""";146;;1;147;1;146;;147
"=""08:00""";155;;2;156;2;155;;157
"=""08:15""";283;;3;286;2;283;;285
"=""08:30""";108;;2;110;2;108;;110
"=""08:45""";405;;1;407;2;405;;407
"=""09:00""";541;;2;543;2;541;;543
"=""09:15""";781;;31;811;27;781;;808
"=""09:30""";"1,050";;6;"1,056";9;"1,050";;"1,059"
"=""09:45""";"1,364";;4;"1,369";5;"1,364";;"1,369"
"=""10:00""";"1,562";;5;"1,567";5;"1,562";;"1,567"
"=""10:15""";916;;2;918;796;916;;"1,712"
"=""10:30""";408;;0;408;"1,460";408;;"1,868"
"=""10:45""";344;;0;344;"1,545";344;;"1,889"
"=""11:00""";344;;0;344;"1,891";344;;"2,235"
"=""11:15""";323;;0;323;"2,209";323;;"2,532"
"=""11:30""";368;;0;368;"2,248";368;;"2,616"
"=""11:45""";380;;0;380;"2,328";380;;"2,708"
"=""12:00""";390;;0;390;"2,622";390;;"3,012"
"=""12:15""";545;;0;545;"2,520";545;;"3,065"
"=""12:30""";"1,698";;0;"1,698";"1,425";"1,698";;"3,123"
"=""12:45""";"1,168";;0;"1,168";"2,005";"1,168";;"3,173"
"=""13:00""";"1,053";;0;"1,053";"2,282";"1,053";;"3,335"
"=""13:15""";"1,350";;0;"1,350";"2,297";"1,350";;"3,647"
"=""13:30""";"1,655";;0;"1,655";"2,023";"1,655";;"3,678"
"=""13:45""";"2,369";;162;"2,532";"1,210";"2,369";;"3,579"
"=""14:00""";"2,871";;94;"2,966";625;"2,871";;"3,496"
"=""14:15""";"1,933";;57;"1,990";"1,725";"1,933";;"3,658"
"=""14:30""";"3,677";;"2,296";"5,973";0;"3,677";;"3,677"
"=""14:45""";"3,814";;"1,830";"5,644";0;"3,814";;"3,814"
"=""15:00""";"3,586";;"1,237";"4,823";0;"3,586";;"3,586"
"=""15:15""";"3,428";;"1,395";"4,823";0;"3,428";;"3,428"
"=""15:30""";"3,516";;"1,288";"4,804";0;"3,516";;"3,516"
"=""15:45""";"3,419";;"1,396";"4,815";0;"3,419";;"3,419"
"=""16:00""";"3,030";;"1,700";"4,730";0;"3,030";;"3,030"
"=""16:15""";"3,036";;"1,676";"4,712";0;"3,036";;"3,036"
"=""16:30""";"2,972";;"1,759";"4,731";0;"2,972";;"2,972"
"=""16:45""";"2,888";;"1,877";"4,765";0;"2,888";;"2,888"
"=""17:00""";"2,594";;"2,091";"4,684";73;"2,594";;"2,667"
"=""17:15""";"1,666";;632;"2,297";716;"1,666";;"2,382"
"=""17:30""";872;;167;"1,039";"1,175";872;;"2,047"
"=""17:45""";657;;188;845;"1,488";657;;"2,145"
"=""18:00""";794;;397;"1,191";780;794;;"1,574"
"=""18:15""";455;;0;455;"1,042";455;;"1,497"
"=""18:30""";411;;0;411;671;411;;"1,082"
"=""18:45""";373;;0;373;730;373;;"1,103"
"=""19:00""";746;;974;"1,719";300;746;;"1,046"
"=""19:15""";565;;590;"1,155";294;565;;859
"=""19:30""";415;;6;421;161;415;;576
"=""19:45""";373;;652;"1,025";62;373;;435
"=""20:00""";283;;575;858;0;283;;283
"=""20:15""";166;;"1,261";"1,427";0;166;;166
"=""20:30""";66;;797;863;0;66;;66
"=""20:45""";6;;478;484;0;6;;6
"=""21:00""";0;;514;514;0;0;;0
"=""21:15""";0;;468;468;0;0;;0
"=""21:30""";0;;469;469;0;0;;0
"=""21:45""";0;;439;439;0;0;;0
"=""22:00""";0;;419;419;0;0;;0
"=""22:15""";0;;422;422;0;0;;0
"=""22:30""";0;;417;417;0;0;;0
"=""22:45""";0;;358;358;0;0;;0
"=""23:00""";0;;330;330;0;0;;0
"=""23:15""";0;;371;371;0;0;;0
"=""23:30""";0;;361;361;0;0;;0
"=""23:45""";0;;423;423;0;0;;0
"=""00:00""";0;;384;384;0;0;;0
