 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;0;290;290;0;0;0;0
"=""00:30""";0;0;333;333;0;0;0;0
"=""00:45""";0;0;365;365;0;0;0;0
"=""01:00""";0;0;406;406;0;0;0;0
"=""01:15""";0;0;542;542;0;0;0;0
"=""01:30""";0;0;439;439;0;0;0;0
"=""01:45""";0;0;413;413;0;0;0;0
"=""02:00""";0;0;413;413;0;0;0;0
"=""02:15""";0;0;382;382;0;0;0;0
"=""02:30""";0;0;290;290;0;0;0;0
"=""02:45""";0;0;332;332;0;0;0;0
"=""03:00""";0;0;337;337;0;0;0;0
"=""03:15""";0;0;395;395;0;0;0;0
"=""03:30""";0;0;364;364;0;0;0;0
"=""03:45""";0;0;369;369;0;0;0;0
"=""04:00""";0;0;371;371;0;0;0;0
"=""04:15""";0;0;299;299;0;0;0;0
"=""04:30""";0;0;319;319;0;0;0;0
"=""04:45""";0;0;337;337;0;0;0;0
"=""05:00""";0;0;372;372;0;0;0;0
"=""05:15""";0;0;361;361;0;0;0;0
"=""05:30""";0;0;364;364;0;0;0;0
"=""05:45""";0;0;362;362;0;0;0;0
"=""06:00""";0;0;330;330;0;0;0;0
"=""06:15""";0;0;335;335;0;0;0;0
"=""06:30""";0;0;329;329;0;0;0;0
"=""06:45""";0;0;414;414;0;0;0;0
"=""07:00""";0;0;423;423;0;0;0;0
"=""07:15""";0;0;339;339;0;0;0;0
"=""07:30""";44;0;360;404;0;44;0;44
"=""07:45""";151;0;244;395;0;151;0;151
"=""08:00""";239;0;58;297;4;239;12;255
"=""08:15""";183;0;21;204;4;183;244;431
"=""08:30""";212;0;50;262;12;212;127;351
"=""08:45""";225;0;30;254;5;225;328;557
"=""09:00""";309;0;5;314;6;309;779;"1,094"
"=""09:15""";335;0;18;353;17;335;721;"1,073"
"=""09:30""";350;0;24;374;20;350;"1,019";"1,388"
"=""09:45""";470;87;49;607;45;470;631;"1,146"
"=""10:00""";0;39;45;;46;0;"1,293";885
"=""10:15""";0;433;47;;45;0;711;0
"=""10:30""";0;618;44;455;43;0;164;0
"=""10:45""";0;137;44;;44;0;915;0
"=""11:00""";0;321;43;;39;0;630;0
"=""11:15""";0;105;34;;41;0;"1,823";0
"=""11:30""";0;118;41;;39;0;775;0
"=""11:45""";0;0;32;;35;0;"1,358";0
"=""12:00""";0;212;48;;40;0;"1,352";0
"=""12:15""";0;566;36;394;15;0;193;0
"=""12:30""";0;"2,234";290;"2,504";20;0;0;0
"=""12:45""";0;"2,431";731;"3,137";25;0;0;0
"=""13:00""";782;"2,544";133;"3,459";37;782;0;819
"=""13:15""";0;467;126;308;71;0;"1,319";"1,105"
"=""13:30""";0;57;23;;27;0;"1,277";0
"=""13:45""";0;7;20;;20;0;555;0
"=""14:00""";936;0;23;958;24;936;"1,343";"2,303"
"=""14:15""";79;691;28;798;20;79;"1,260";"1,359"
"=""14:30""";0;891;35;628;38;0;821;562
"=""14:45""";0;385;55;;52;0;927;
"=""15:00""";0;828;4;559;8;0;644;380
"=""15:15""";"1,624";0;13;"1,637";11;"1,624";"1,703";"3,338"
"=""15:30""";130;16;13;158;10;130;"1,553";"1,693"
"=""15:45""";0;315;36;;37;0;521;0
"=""16:00""";"1,542";43;23;"1,607";26;"1,542";"1,739";"3,307"
"=""16:15""";"1,039";20;15;"1,075";15;"1,039";"1,474";"2,528"
"=""16:30""";"1,229";0;9;"1,238";8;"1,229";"1,445";"2,682"
"=""16:45""";"1,266";0;8;"1,274";8;"1,266";"1,112";"2,386"
"=""17:00""";"1,110";34;21;"1,165";20;"1,110";723;"1,853"
"=""17:15""";404;38;9;451;9;404;667;"1,080"
"=""17:30""";469;0;9;478;8;469;862;"1,339"
"=""17:45""";429;20;5;454;2;429;104;534
"=""18:00""";270;63;2;335;1;270;2;273
"=""18:15""";383;61;3;447;2;383;116;501
"=""18:30""";0;253;1;253;1;0;0;0
"=""18:45""";0;89;4;77;2;0;14;
"=""19:00""";59;210;2;271;2;59;0;61
"=""19:15""";0;323;2;324;1;0;0;0
"=""19:30""";0;322;1;322;1;0;0;0
"=""19:45""";0;305;1;305;1;0;0;0
"=""20:00""";0;342;1;342;1;0;0;0
"=""20:15""";0;435;2;435;1;0;0;0
"=""20:30""";0;432;1;431;1;0;0;0
"=""20:45""";0;396;2;397;1;0;0;0
"=""21:00""";0;438;1;438;1;0;0;0
"=""21:15""";0;442;1;442;1;0;0;0
"=""21:30""";0;351;1;351;1;0;0;0
"=""21:45""";0;274;1;274;1;0;0;0
"=""22:00""";0;285;1;285;1;0;0;0
"=""22:15""";0;338;1;338;1;0;0;0
"=""22:30""";0;385;2;385;2;0;0;0
"=""22:45""";0;431;2;431;1;0;0;0
"=""23:00""";0;417;2;416;2;0;0;0
"=""23:15""";0;377;1;377;1;0;0;0
"=""23:30""";0;290;1;290;1;0;0;0
"=""23:45""";0;269;1;269;1;0;0;0
"=""00:00""";0;269;1;269;1;0;0;0
