 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;350;2;351;2;0;0;0
"=""00:30""";0;475;3;475;4;0;0;0
"=""00:45""";0;394;1;394;1;0;0;0
"=""01:00""";0;387;1;387;1;0;0;0
"=""01:15""";0;356;1;356;2;0;0;0
"=""01:30""";0;313;1;313;1;0;0;0
"=""01:45""";0;273;1;273;1;0;0;0
"=""02:00""";0;274;1;275;1;0;0;0
"=""02:15""";0;295;2;295;2;0;0;0
"=""02:30""";0;384;1;384;1;0;0;0
"=""02:45""";0;385;1;385;1;0;0;0
"=""03:00""";0;356;1;356;1;0;0;0
"=""03:15""";0;333;1;333;2;0;0;0
"=""03:30""";0;273;1;273;1;0;0;0
"=""03:45""";0;275;2;275;2;0;0;0
"=""04:00""";0;283;1;283;1;0;0;0
"=""04:15""";0;942;4;945;2;0;0;0
"=""04:30""";0;925;267;"1,191";1;0;0;0
"=""04:45""";0;0;"1,195";"1,195";0;0;0;0
"=""05:00""";0;0;"1,156";"1,156";0;0;0;0
"=""05:15""";0;0;"1,138";"1,138";0;0;0;0
"=""05:30""";0;0;"1,146";"1,146";0;0;0;0
"=""05:45""";0;0;"1,148";"1,148";0;0;0;0
"=""06:00""";0;0;"1,309";"1,309";0;0;0;0
"=""06:15""";0;0;622;622;0;0;0;0
"=""06:30""";0;0;431;431;0;0;0;0
"=""06:45""";0;0;393;393;0;0;0;0
"=""07:00""";0;0;398;398;0;0;0;0
"=""07:15""";0;0;334;334;0;0;0;0
"=""07:30""";33;0;245;278;0;33;0;33
"=""07:45""";50;0;216;266;0;50;0;50
"=""08:00""";133;0;138;271;0;133;0;133
"=""08:15""";0;0;31;;11;0;41;
"=""08:30""";0;0;23;;2;0;72;0
"=""08:45""";0;0;73;61;1;0;11;
"=""09:00""";399;0;19;418;40;399;332;771
"=""09:15""";0;0;18;;19;0;908;
"=""09:30""";0;8;18;;15;0;688;0
"=""09:45""";209;1;9;218;6;209;355;570
"=""10:00""";409;0;9;418;11;409;677;"1,097"
"=""10:15""";552;118;52;722;52;552;"1,267";"1,871"
"=""10:30""";0;0;10;;13;0;"1,477";"1,400"
"=""10:45""";0;0;16;;13;0;"1,427";"1,244"
"=""11:00""";328;11;28;367;30;328;"1,785";"2,143"
"=""11:15""";204;0;28;232;28;204;"1,451";"1,683"
"=""11:30""";616;0;39;655;41;616;"2,916";"3,573"
"=""11:45""";309;0;21;330;21;309;"1,610";"1,940"
"=""12:00""";354;0;39;393;34;354;"2,292";"2,680"
"=""12:15""";"1,057";1;34;"1,092";34;"1,057";"2,207";"3,298"
"=""12:30""";"1,237";660;37;"1,934";30;"1,237";608;"1,875"
"=""12:45""";"1,779";244;36;"2,059";35;"1,779";"1,458";"3,273"
"=""13:00""";"1,355";96;35;"1,486";34;"1,355";"1,307";"2,696"
"=""13:15""";"1,484";"1,156";25;"2,666";22;"1,484";229;"1,735"
"=""13:30""";"1,236";247;17;"1,500";19;"1,236";358;"1,614"
"=""13:45""";"1,490";52;6;"1,548";4;"1,490";85;"1,578"
"=""14:00""";"1,251";154;9;"1,414";9;"1,251";272;"1,532"
"=""14:15""";"1,612";85;20;"1,717";15;"1,612";487;"2,114"
"=""14:30""";"2,450";"1,013";25;"3,488";24;"2,450";66;"2,540"
"=""14:45""";754;561;9;"1,325";11;754;0;765
"=""15:00""";798;494;5;"1,297";4;798;0;802
"=""15:15""";717;655;4;"1,377";4;717;0;721
"=""15:30""";960;566;3;"1,529";5;960;0;965
"=""15:45""";631;682;3;"1,316";3;631;0;634
"=""16:00""";0;"1,118";3;"1,119";2;0;0;
"=""16:15""";660;"1,121";4;"1,785";4;660;0;664
"=""16:30""";554;685;3;"1,242";5;554;31;590
"=""16:45""";509;0;5;514;2;509;130;641
"=""17:00""";487;851;7;"1,345";3;487;0;490
"=""17:15""";379;"1,634";148;"2,161";19;379;0;398
"=""17:30""";360;"1,502";103;"1,965";21;360;0;381
"=""17:45""";278;930;58;"1,265";12;278;0;290
"=""18:00""";214;494;11;719;8;214;0;222
"=""18:15""";165;"1,664";13;"1,842";16;165;0;181
"=""18:30""";93;"1,529";97;"1,719";15;93;0;108
"=""18:45""";57;"2,475";496;"3,028";19;57;0;76
"=""19:00""";26;0;"1,310";"1,336";0;26;0;26
"=""19:15""";0;0;"1,597";"1,597";0;0;0;0
"=""19:30""";0;0;603;603;0;0;0;0
"=""19:45""";0;0;441;441;0;0;0;0
"=""20:00""";0;0;435;435;0;0;0;0
"=""20:15""";0;0;455;455;0;0;0;0
"=""20:30""";0;0;524;524;0;0;0;0
"=""20:45""";0;0;514;514;0;0;0;0
"=""21:00""";0;0;428;428;0;0;0;0
"=""21:15""";0;0;390;390;0;0;0;0
"=""21:30""";0;0;325;325;0;0;0;0
"=""21:45""";0;0;292;292;0;0;0;0
"=""22:00""";0;0;288;288;0;0;0;0
"=""22:15""";0;0;329;329;0;0;0;0
"=""22:30""";0;0;404;404;0;0;0;0
"=""22:45""";0;0;397;397;0;0;0;0
"=""23:00""";0;0;384;384;0;0;0;0
"=""23:15""";0;0;307;307;0;0;0;0
"=""23:30""";0;0;286;286;0;0;0;0
"=""23:45""";0;0;286;286;0;0;0;0
"=""00:00""";0;0;309;309;0;0;0;0
