 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""13:15""";"1,244";0;7;"1,251";7;"1,244";517;"1,768"
"=""13:30""";"1,524";0;8;"1,532";7;"1,524";661;"2,192"
"=""13:45""";"1,617";0;6;"1,623";7;"1,617";920;"2,544"
"=""14:00""";"1,682";781;8;"2,471";5;"1,682";112;"1,800"
"=""14:15""";"2,153";616;10;"2,779";9;"2,153";7;"2,169"
"=""14:30""";"1,910";"1,055";7;"2,972";8;"1,910";0;"1,917"
"=""14:45""";"1,980";824;6;"2,809";6;"1,980";0;"1,986"
"=""15:00""";"1,914";968;8;"2,890";9;"1,914";0;"1,923"
"=""15:15""";"2,108";763;8;"2,879";7;"2,108";9;"2,124"
"=""15:30""";"2,332";510;7;"2,849";7;"2,332";0;"2,339"
"=""15:45""";"1,968";877;6;"2,850";5;"1,968";0;"1,973"
"=""16:00""";"2,011";280;626;"2,916";3;"2,011";0;"2,014"
"=""16:15""";"1,395";0;"1,499";"2,894";0;"1,395";0;"1,395"
"=""16:30""";"1,165";0;"1,802";"2,967";0;"1,165";0;"1,165"
"=""16:45""";770;0;"2,177";"2,947";0;770;0;770
"=""17:00""";597;0;"2,307";"2,904";0;597;0;597
"=""17:15""";519;0;"1,429";"1,948";0;519;0;519
"=""17:30""";374;0;"1,338";"1,712";0;374;0;374
"=""17:45""";299;0;"1,392";"1,691";0;299;0;299
"=""18:00""";193;0;"1,514";"1,707";0;193;0;193
"=""18:15""";112;0;"1,600";"1,712";0;112;0;112
"=""18:30""";87;0;"1,634";"1,721";0;87;0;87
"=""18:45""";35;0;"1,693";"1,728";0;35;0;35
"=""19:00""";2;0;"1,671";"1,673";0;2;0;2
"=""19:15""";0;0;"1,766";"1,766";0;0;0;0
"=""19:30""";0;0;"3,611";"3,611";0;0;0;0
"=""19:45""";0;0;"3,083";"3,083";0;0;0;0
"=""20:00""";0;0;"2,081";"2,081";0;0;0;0
"=""20:15""";0;0;"3,173";"3,173";0;0;0;0
"=""20:30""";0;0;"1,970";"1,970";0;0;0;0
"=""20:45""";0;0;"1,948";"1,948";0;0;0;0
"=""21:00""";0;0;"1,936";"1,936";0;0;0;0
"=""21:15""";0;0;"1,902";"1,902";0;0;0;0
"=""21:30""";0;0;"3,741";"3,741";0;0;0;0
"=""21:45""";0;0;"1,854";"1,854";0;0;0;0
"=""22:00""";0;0;"1,795";"1,795";0;0;0;0
"=""22:15""";0;0;"1,814";"1,814";0;0;0;0
"=""22:30""";0;0;"1,814";"1,814";0;0;0;0
"=""22:45""";0;0;"1,821";"1,821";0;0;0;0
"=""23:00""";0;0;"1,824";"1,824";0;0;0;0
"=""23:15""";0;0;"1,804";"1,804";0;0;0;0
"=""23:30""";0;0;"1,806";"1,806";0;0;0;0
"=""23:45""";0;0;"1,425";"1,425";0;0;0;0
"=""00:00""";0;0;324;324;0;0;0;0
