 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;0;369;369;0;0;0;0
"=""00:30""";0;0;321;321;0;0;0;0
"=""00:45""";0;0;294;294;0;0;0;0
"=""01:00""";0;0;293;293;0;0;0;0
"=""01:15""";0;0;366;366;0;0;0;0
"=""01:30""";0;0;396;396;0;0;0;0
"=""01:45""";0;0;406;406;0;0;0;0
"=""02:00""";0;0;365;365;0;0;0;0
"=""02:15""";0;0;303;303;0;0;0;0
"=""02:30""";0;0;291;291;0;0;0;0
"=""02:45""";0;0;331;331;0;0;0;0
"=""03:00""";0;0;362;362;0;0;0;0
"=""03:15""";0;0;364;364;0;0;0;0
"=""03:30""";0;0;346;346;0;0;0;0
"=""03:45""";0;0;338;338;0;0;0;0
"=""04:00""";0;0;335;335;0;0;0;0
"=""04:15""";0;0;357;357;0;0;0;0
"=""04:30""";0;0;363;363;0;0;0;0
"=""04:45""";0;0;359;359;0;0;0;0
"=""05:00""";0;0;298;298;0;0;0;0
"=""05:15""";0;0;288;288;0;0;0;0
"=""05:30""";0;0;322;322;0;0;0;0
"=""05:45""";0;0;399;399;0;0;0;0
"=""06:00""";0;0;397;397;0;0;0;0
"=""06:15""";0;0;383;383;0;0;0;0
"=""06:30""";0;0;"1,293";"1,293";0;0;0;0
"=""06:45""";0;0;323;323;0;0;0;0
"=""07:00""";0;0;684;684;0;0;0;0
"=""07:15""";0;0;497;497;0;0;0;0
"=""07:30""";16;0;487;503;0;16;0;16
"=""07:45""";49;0;522;571;0;49;0;49
"=""08:00""";90;0;347;437;0;90;0;90
"=""08:15""";135;0;270;405;0;135;0;135
"=""08:30""";147;0;230;377;0;147;0;147
"=""08:45""";153;0;189;342;0;153;0;153
"=""09:00""";206;0;123;329;0;206;0;206
"=""09:15""";276;0;17;293;5;276;18;299
"=""09:30""";292;0;5;297;1;292;54;347
"=""09:45""";289;0;16;305;1;289;46;335
"=""10:00""";316;0;10;326;1;316;102;419
"=""10:15""";324;0;11;335;3;324;79;406
"=""10:30""";327;0;1;328;2;327;297;626
"=""10:45""";266;0;2;267;2;266;570;838
"=""11:00""";255;0;3;258;2;255;749;"1,005"
"=""11:15""";259;0;2;262;2;259;797;"1,058"
"=""11:30""";412;0;3;414;3;412;809;"1,224"
"=""11:45""";369;0;2;371;2;369;645;"1,017"
"=""12:00""";361;0;3;364;3;361;805;"1,169"
"=""12:15""";809;0;4;813;3;809;404;"1,216"
"=""12:30""";"1,018";0;3;"1,022";3;"1,018";394;"1,415"
"=""12:45""";"1,033";0;4;"1,037";5;"1,033";552;"1,589"
"=""13:00""";"1,160";0;5;"1,165";5;"1,160";521;"1,686"
