 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;277;1;277;1;0;0;0
"=""00:30""";0;293;1;293;1;0;0;0
"=""00:45""";0;326;1;326;1;0;0;0
"=""01:00""";0;365;1;365;1;0;0;0
"=""01:15""";0;367;1;367;1;0;0;0
"=""01:30""";0;351;1;351;1;0;0;0
"=""01:45""";0;354;1;354;1;0;0;0
"=""02:00""";0;336;1;336;1;0;0;0
"=""02:15""";0;279;1;279;1;0;0;0
"=""02:30""";0;320;1;320;1;0;0;0
"=""02:45""";0;326;1;326;1;0;0;0
"=""03:00""";0;363;1;364;1;0;0;0
"=""03:15""";0;352;1;351;1;0;0;0
"=""03:30""";0;355;1;355;1;0;0;0
"=""03:45""";0;357;1;357;1;0;0;0
"=""04:00""";0;285;1;285;1;0;0;0
"=""04:15""";0;299;1;299;1;0;0;0
"=""04:30""";0;327;1;327;1;0;0;0
"=""04:45""";0;347;1;347;1;0;0;0
"=""05:00""";0;360;1;360;1;0;0;0
"=""05:15""";0;380;1;380;1;0;0;0
"=""05:30""";0;394;1;395;1;0;0;0
"=""05:45""";0;934;5;934;5;0;0;0
"=""06:00""";0;460;1;460;1;0;0;0
"=""06:15""";0;445;1;446;1;0;0;0
"=""06:30""";0;445;1;444;1;0;0;0
"=""06:45""";0;451;1;451;1;0;0;0
"=""07:00""";0;303;1;303;1;0;0;0
"=""07:15""";0;298;1;299;1;0;0;0
"=""07:30""";0;302;1;302;1;0;0;0
"=""07:45""";0;268;1;268;1;0;0;
"=""08:00""";0;219;1;219;1;0;0;
"=""08:15""";182;238;1;421;1;182;0;183
"=""08:30""";301;96;1;398;1;301;0;302
"=""08:45""";291;10;1;302;1;291;84;376
"=""09:00""";0;0;1;;2;0;327;
"=""09:15""";0;0;2;;1;0;301;
"=""09:30""";338;0;1;340;2;338;266;606
"=""09:45""";270;0;1;272;1;270;326;598
"=""10:00""";350;0;2;351;1;350;168;519
"=""10:15""";399;0;1;400;1;399;212;612
"=""10:30""";0;31;16;;18;0;465;0
"=""10:45""";0;0;5;;7;0;"1,119";
"=""11:00""";207;0;4;210;4;207;982;"1,193"
"=""11:15""";350;0;8;358;9;350;"1,466";"1,825"
"=""11:30""";145;0;5;150;3;145;955;"1,103"
"=""11:45""";374;0;5;379;6;374;"1,263";"1,644"
"=""12:00""";531;0;11;542;11;531;"1,187";"1,730"
"=""12:15""";819;0;19;838;20;819;"1,360";"2,200"
"=""12:30""";456;0;14;470;12;456;"1,310";"1,778"
"=""12:45""";758;0;4;763;5;758;392;"1,155"
"=""13:00""";802;0;5;806;4;802;686;"1,492"
"=""13:15""";"1,099";481;8;"1,588";3;"1,099";161;"1,263"
"=""13:30""";"1,785";362;13;"2,160";16;"1,785";191;"1,991"
"=""13:45""";"1,934";2;25;"1,960";24;"1,934";"1,488";"3,445"
"=""14:00""";"1,675";35;19;"1,729";20;"1,675";559;"2,254"
"=""14:15""";"1,338";0;24;"1,362";28;"1,338";"1,108";"2,474"
"=""14:30""";"1,463";1;40;"1,504";39;"1,463";"1,560";"3,062"
"=""14:45""";"1,489";0;19;"1,507";14;"1,489";808;"2,310"
"=""15:00""";817;871;4;"1,692";2;817;0;819
"=""15:15""";796;676;4;"1,476";6;796;32;834
"=""15:30""";919;0;18;937;20;919;"2,148";"3,087"
"=""15:45""";"2,216";18;18;"2,252";19;"2,216";"1,303";"3,538"
"=""16:00""";"1,191";283;31;"1,505";32;"1,191";"1,825";"3,049"
"=""16:15""";580;0;33;612;30;580;"2,666";"3,275"
"=""16:30""";"1,128";226;55;"1,409";57;"1,128";"1,462";"2,647"
"=""16:45""";351;0;36;386;35;351;"2,094";"2,480"
"=""17:00""";555;0;34;590;34;555;"2,123";"2,712"
"=""17:15""";580;0;5;585;"1,345";580;726;"2,651"
"=""17:30""";"1,532";218;14;"1,764";637;"1,532";0;"2,169"
"=""17:45""";"1,623";169;6;"1,798";31;"1,623";575;"2,229"
"=""18:00""";358;0;0;358;"1,657";358;6;"2,021"
"=""18:15""";104;0;0;104;"1,362";104;0;"1,466"
"=""18:30""";338;0;0;338;"1,152";338;0;"1,490"
"=""18:45""";452;0;0;452;"1,046";452;0;"1,498"
"=""19:00""";320;38;5;363;46;320;0;366
"=""19:15""";300;148;2;449;2;300;0;302
"=""19:30""";294;"1,166";8;"1,468";4;294;0;298
"=""19:45""";460;533;5;998;10;460;0;470
"=""20:00""";0;642;5;642;5;0;0;
"=""20:15""";52;790;3;844;4;52;0;56
"=""20:30""";33;809;4;846;3;33;0;36
"=""20:45""";0;829;4;829;4;0;0;0
"=""21:00""";0;904;3;902;5;0;0;0
"=""21:15""";0;892;5;893;4;0;0;0
"=""21:30""";0;812;5;811;5;0;0;0
"=""21:45""";0;820;5;820;6;0;0;0
"=""22:00""";0;767;5;768;5;0;0;0
"=""22:15""";0;821;4;820;5;0;0;0
"=""22:30""";0;783;4;784;3;0;0;0
"=""22:45""";0;813;4;814;3;0;0;0
"=""23:00""";0;833;3;832;4;0;0;0
"=""23:15""";0;778;3;778;3;0;0;0
"=""23:30""";0;610;3;609;4;0;0;0
"=""23:45""";0;330;1;330;1;0;0;0
"=""00:00""";0;437;2;438;1;0;0;0
