 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;286;2;286;2;0;0;0
"=""00:30""";0;315;2;315;1;0;0;0
"=""00:45""";0;353;1;353;1;0;0;0
"=""01:00""";0;397;2;397;2;0;0;0
"=""01:15""";0;401;1;401;1;0;0;0
"=""01:30""";0;371;1;371;2;0;0;0
"=""01:45""";0;285;1;285;1;0;0;0
"=""02:00""";0;285;1;285;1;0;0;0
"=""02:15""";0;293;2;293;1;0;0;0
"=""02:30""";0;348;70;417;1;0;0;0
"=""02:45""";0;385;2;386;2;0;0;0
"=""03:00""";0;409;1;409;1;0;0;0
"=""03:15""";0;375;1;374;1;0;0;0
"=""03:30""";0;292;1;292;1;0;0;0
"=""03:45""";0;287;1;287;1;0;0;0
"=""04:00""";0;289;1;289;1;0;0;0
"=""04:15""";0;351;1;351;1;0;0;0
"=""04:30""";0;351;2;351;2;0;0;0
"=""04:45""";0;399;1;399;1;0;0;0
"=""05:00""";0;372;1;372;1;0;0;0
"=""05:15""";0;309;1;309;1;0;0;0
"=""05:30""";0;279;1;279;1;0;0;0
"=""05:45""";0;280;1;280;1;0;0;0
"=""06:00""";0;348;1;348;1;0;0;0
"=""06:15""";0;353;1;353;1;0;0;0
"=""06:30""";0;"1,458";4;"1,461";1;0;0;0
"=""06:45""";0;616;1;614;3;0;0;0
"=""07:00""";0;903;3;903;3;0;0;0
"=""07:15""";0;528;1;528;1;0;0;0
"=""07:30""";0;551;1;551;1;0;0;0
"=""07:45""";0;384;1;384;1;0;0;0
"=""08:00""";0;305;1;304;1;0;0;0
"=""08:15""";0;323;1;323;1;0;0;0
"=""08:30""";0;317;1;317;1;0;0;0
"=""08:45""";0;369;1;369;1;0;0;0
"=""09:00""";0;337;1;337;1;0;0;0
"=""09:15""";0;303;1;303;1;0;0;0
"=""09:30""";0;261;1;261;1;0;0;0
"=""09:45""";80;245;21;346;16;80;0;96
"=""10:00""";0;129;1;129;1;0;0;0
"=""10:15""";0;109;2;86;2;0;23;0
"=""10:30""";0;0;3;;2;0;226;0
"=""10:45""";0;0;4;;3;0;352;0
"=""11:00""";0;0;30;;31;0;"1,419";0
"=""11:15""";0;0;12;;11;0;798;0
"=""11:30""";75;0;2;77;2;75;309;386
"=""11:45""";0;0;2;;3;0;489;0
"=""12:00""";0;0;6;;5;0;"1,533";0
"=""12:15""";0;0;3;;1;0;432;0
"=""12:30""";0;0;4;;2;0;240;0
"=""12:45""";0;47;4;;3;0;623;337
"=""13:00""";0;0;2;;2;0;255;0
"=""13:15""";0;531;3;470;3;0;61;0
"=""13:30""";0;695;1;695;2;0;0;0
"=""13:45""";0;789;2;789;1;0;0;0
"=""14:00""";0;965;2;965;1;0;0;0
"=""14:15""";0;"1,089";4;"1,089";5;0;0;0
"=""14:30""";0;735;4;736;3;0;0;0
"=""14:45""";0;966;1;966;2;0;0;0
"=""15:00""";0;872;2;872;1;0;0;0
"=""15:15""";0;903;1;903;1;0;0;0
"=""15:30""";0;643;457;"1,098";1;0;0;0
"=""15:45""";0;0;"1,179";"1,179";0;0;0;0
"=""16:00""";194;0;60;254;4;194;58;256
"=""16:15""";0;0;1;;1;0;217;0
"=""16:30""";0;0;1;;2;0;392;0
"=""16:45""";328;0;2;330;1;328;445;774
"=""17:00""";0;0;2;;2;0;550;0
"=""17:15""";0;0;2;;2;0;258;
"=""17:30""";0;0;2;;2;0;210;
"=""17:45""";0;0;3;;1;0;112;
"=""18:00""";0;133;3;135;1;0;0;
"=""18:15""";0;110;2;110;1;0;0;
"=""18:30""";0;217;3;217;3;0;0;
"=""18:45""";0;889;3;891;1;0;0;0
"=""19:00""";0;324;"1,300";"1,624";0;0;0;0
"=""19:15""";0;0;"1,048";"1,048";0;0;0;0
"=""19:30""";0;0;"1,098";"1,098";0;0;0;0
"=""19:45""";0;0;357;357;0;0;0;0
"=""20:00""";80;0;367;447;0;80;0;80
"=""20:15""";12;0;378;390;0;12;0;12
"=""20:30""";0;0;463;463;0;0;0;0
"=""20:45""";0;0;483;483;0;0;0;0
"=""21:00""";0;0;499;499;0;0;0;0
"=""21:15""";0;0;503;503;0;0;0;0
"=""21:30""";0;0;450;450;0;0;0;0
"=""21:45""";0;0;459;459;0;0;0;0
"=""22:00""";0;0;348;348;0;0;0;0
"=""22:15""";0;0;359;359;0;0;0;0
"=""22:30""";0;0;356;356;0;0;0;0
"=""22:45""";0;0;348;348;0;0;0;0
"=""23:00""";0;0;280;280;0;0;0;0
"=""23:15""";0;0;319;319;0;0;0;0
"=""23:30""";0;0;363;363;0;0;0;0
"=""23:45""";0;0;384;384;0;0;0;0
"=""00:00""";0;0;350;350;0;0;0;0
