 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;274;1;274;1;0;0;0
"=""00:30""";0;271;1;271;1;0;0;0
"=""00:45""";0;297;1;297;1;0;0;0
"=""01:00""";0;294;1;294;1;0;0;0
"=""01:15""";0;340;1;340;1;0;0;0
"=""01:30""";0;321;1;320;1;0;0;0
"=""01:45""";0;321;1;322;1;0;0;0
"=""02:00""";0;131;132;263;0;0;0;0
"=""02:15"""; ;;;;;;;
"=""02:30"""; ;;;;;;;
"=""02:45"""; ;;;;;;;
"=""03:00"""; ;;;;;;;
"=""03:15""";0;0;261;261;0;0;0;0
"=""03:30""";0;0;277;277;0;0;0;0
"=""03:45""";0;0;326;326;0;0;0;0
"=""04:00""";0;0;372;372;0;0;0;0
"=""04:15""";0;0;357;357;0;0;0;0
"=""04:30""";0;0;310;310;0;0;0;0
"=""04:45""";0;0;262;262;0;0;0;0
"=""05:00""";0;0;262;262;0;0;0;0
"=""05:15""";0;0;260;260;0;0;0;0
"=""05:30""";0;0;311;311;0;0;0;0
"=""05:45""";0;0;472;472;0;0;0;0
"=""06:00""";0;0;453;453;0;0;0;0
"=""06:15""";0;0;402;402;0;0;0;0
"=""06:30""";0;0;380;380;0;0;0;0
"=""06:45""";0;0;379;379;0;0;0;0
"=""07:00""";0;0;261;261;0;0;0;0
"=""07:15""";0;0;261;261;0;0;0;0
"=""07:30""";0;0;262;262;0;0;0;0
"=""07:45""";0;0;297;297;0;0;0;0
"=""08:00""";58;0;217;275;0;58;0;58
"=""08:15""";77;0;200;277;0;77;0;77
"=""08:30""";90;0;154;244;0;90;0;90
"=""08:45""";245;0;59;304;2;245;0;248
"=""09:00""";266;0;45;310;4;266;39;308
"=""09:15""";300;0;3;303;3;300;369;672
"=""09:30""";287;0;6;293;8;287;590;884
"=""09:45""";271;0;4;275;4;271;721;996
"=""10:00""";274;0;4;277;5;274;913;"1,191"
"=""10:15""";278;0;4;282;3;278;"1,679";"1,960"
"=""10:30""";228;0;4;233;2;228;"1,134";"1,365"
"=""10:45""";227;0;8;235;6;227;"1,165";"1,398"
"=""11:00""";0;0;7;;10;0;"1,396";"1,399"
"=""11:15""";243;0;8;251;7;243;"2,030";"2,280"
"=""11:30""";282;0;9;291;10;282;"2,253";"2,545"
"=""11:45""";373;0;10;383;10;373;"2,548";"2,931"
"=""12:00""";388;0;10;398;10;388;"2,725";"3,123"
"=""12:15""";389;0;8;397;10;389;"2,966";"3,365"
"=""12:30""";325;0;36;361;35;325;"3,088";"3,448"
"=""12:45""";294;0;34;328;35;294;"2,329";"2,658"
"=""13:00""";229;0;8;237;6;229;"1,668";"1,903"
"=""13:15""";247;0;18;265;17;247;"2,628";"2,892"
"=""13:30""";236;0;12;248;11;236;"2,093";"2,340"
"=""13:45""";276;0;4;279;3;276;"1,244";"1,522"
"=""14:00""";271;0;3;274;2;271;911;"1,183"
"=""14:15""";263;0;2;264;1;263;374;638
"=""14:30""";221;0;1;222;1;221;270;492
"=""14:45""";223;0;1;224;1;223;356;580
"=""15:00""";284;0;1;285;2;284;442;728
"=""15:15""";293;0;1;295;2;293;552;847
"=""15:30""";302;0;2;304;2;302;750;"1,054"
"=""15:45""";348;0;3;351;3;348;795;"1,146"
"=""16:00""";322;0;2;325;3;322;932;"1,258"
"=""16:15""";266;0;3;269;1;266;748;"1,016"
"=""16:30""";223;0;1;225;1;223;356;580
"=""16:45""";206;11;7;225;1;206;63;270
"=""17:00""";147;72;7;226;1;147;5;153
"=""17:15""";191;30;3;223;1;191;48;240
"=""17:30""";225;0;1;226;2;225;498;725
"=""17:45""";259;0;2;261;1;259;456;716
"=""18:00""";265;10;3;278;1;265;249;515
"=""18:15""";243;89;3;336;1;243;12;256
"=""18:30""";143;151;3;297;1;143;0;144
"=""18:45""";109;194;1;304;1;109;0;110
"=""19:00""";300;10;6;315;6;300;520;825
"=""19:15""";228;0;3;232;1;228;88;317
"=""19:30""";152;77;2;231;1;152;0;153
"=""19:45""";153;106;1;260;1;153;0;154
"=""20:00""";79;194;1;274;1;79;0;80
"=""20:15""";7;265;1;273;1;7;0;8
"=""20:30""";0;247;1;247;1;0;0;0
"=""20:45""";0;238;1;238;1;0;0;0
"=""21:00""";0;240;1;240;1;0;0;0
"=""21:15""";0;298;1;298;1;0;0;0
"=""21:30""";0;313;1;313;1;0;0;0
"=""21:45""";0;343;1;344;1;0;0;0
"=""22:00""";0;369;1;368;1;0;0;0
"=""22:15""";0;317;1;316;1;0;0;0
"=""22:30""";0;259;1;259;1;0;0;0
"=""22:45""";0;241;1;241;1;0;0;0
"=""23:00""";0;242;1;242;1;0;0;0
"=""23:15""";0;247;1;247;1;0;0;0
"=""23:30""";0;241;1;241;1;0;0;0
"=""23:45""";0;260;1;260;1;0;0;0
"=""00:00""";0;289;1;289;1;0;0;0
