 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;239;1;239;1;0;0;0
"=""00:30""";0;267;1;268;1;0;0;0
"=""00:45""";0;289;1;289;1;0;0;0
"=""01:00""";0;288;1;288;1;0;0;0
"=""01:15""";0;256;1;256;1;0;0;0
"=""01:30""";0;244;1;244;1;0;0;0
"=""01:45""";0;243;1;243;1;0;0;0
"=""02:00""";0;250;1;250;1;0;0;0
"=""02:15""";0;295;1;295;1;0;0;0
"=""02:30""";0;337;1;337;1;0;0;0
"=""02:45""";0;242;60;301;1;0;0;0
"=""03:00""";0;360;11;370;1;0;0;0
"=""03:15""";0;321;1;321;1;0;0;0
"=""03:30""";0;243;1;243;1;0;0;0
"=""03:45""";0;243;1;243;1;0;0;0
"=""04:00""";0;250;1;250;1;0;0;0
"=""04:15""";0;242;1;242;1;0;0;0
"=""04:30""";0;275;1;276;1;0;0;0
"=""04:45""";0;336;1;336;1;0;0;0
"=""05:00""";0;346;1;346;1;0;0;0
"=""05:15""";0;305;1;305;1;0;0;0
"=""05:30""";0;327;1;327;1;0;0;0
"=""05:45""";0;353;1;353;1;0;0;0
"=""06:00""";0;319;1;319;1;0;0;0
"=""06:15""";0;319;1;319;1;0;0;0
"=""06:30""";0;336;1;336;1;0;0;0
"=""06:45""";0;287;1;287;1;0;0;0
"=""07:00""";0;282;1;282;1;0;0;0
"=""07:15""";0;259;1;258;1;0;0;0
"=""07:30""";0;235;1;235;1;0;0;0
"=""07:45""";0;237;1;237;1;0;0;0
"=""08:00""";0;235;1;235;1;0;0;0
"=""08:15""";10;237;1;248;1;10;0;11
"=""08:30""";3;228;1;232;1;3;0;4
"=""08:45""";75;238;1;314;1;75;0;76
"=""09:00""";106;227;1;334;1;106;0;107
"=""09:15""";139;178;1;318;1;139;0;140
"=""09:30""";256;69;1;326;1;256;12;269
"=""09:45""";263;0;1;264;1;263;200;465
"=""10:00""";219;0;1;220;1;219;218;438
"=""10:15""";228;0;1;230;1;228;502;732
"=""10:30""";390;0;3;393;5;390;563;958
"=""10:45""";275;0;6;281;5;275;"1,273";"1,553"
"=""11:00""";264;0;4;268;3;264;691;958
"=""11:15""";246;0;21;267;22;246;"1,386";"1,655"
"=""11:30""";220;0;21;241;20;220;"1,724";"1,965"
"=""11:45""";226;0;23;249;24;226;"1,463";"1,713"
"=""12:00""";417;0;16;433;14;417;"1,173";"1,604"
"=""12:15""";310;0;32;342;33;310;"2,306";"2,650"
"=""12:30""";299;0;29;328;29;299;"1,726";"2,054"
"=""12:45""";346;0;24;369;26;346;"1,516";"1,888"
"=""13:00""";300;0;26;326;23;300;"2,495";"2,818"
"=""13:15""";218;0;63;281;65;218;"2,028";"2,311"
"=""13:30""";247;0;10;257;605;247;"1,078";"1,929"
"=""13:45""";264;0;0;264;"2,257";264;3;"2,524"
"=""14:00""";283;0;0;283;"2,916";283;0;"3,199"
"=""14:15""";301;0;0;301;"3,232";301;0;"3,533"
"=""14:30""";240;0;0;240;842;240;0;"1,082"
"=""14:45""";319;0;0;319;"2,248";319;0;"2,567"
"=""15:00""";333;0;0;333;"1,378";333;0;"1,711"
"=""15:15""";379;0;0;379;"2,496";379;0;"2,875"
"=""15:30""";350;0;0;350;"2,635";350;0;"2,985"
"=""15:45""";330;0;0;330;"1,706";330;0;"2,036"
"=""16:00""";325;0;0;325;"1,235";325;0;"1,560"
"=""16:15""";275;0;0;275;750;275;0;"1,025"
"=""16:30""";271;0;0;271;"2,537";271;0;"2,808"
"=""16:45""";304;0;0;304;"2,034";304;0;"2,338"
"=""17:00""";308;0;0;308;"1,999";308;0;"2,307"
"=""17:15""";285;0;0;285;"1,554";285;0;"1,839"
"=""17:30""";233;0;0;233;785;233;0;"1,018"
"=""17:45""";231;0;0;231;606;231;0;837
"=""18:00""";232;0;0;232;687;232;0;919
"=""18:15""";254;0;0;254;385;254;0;639
"=""18:30""";309;0;0;309;"1,029";309;0;"1,338"
"=""18:45""";346;0;0;346;511;346;0;857
"=""19:00""";350;0;0;350;468;350;0;818
"=""19:15""";342;0;3;345;47;342;0;389
"=""19:30""";301;0;2;303;73;301;0;374
"=""19:45""";219;3;13;235;0;219;0;219
"=""20:00""";144;73;1;218;1;144;0;145
"=""20:15""";41;183;1;225;1;41;0;42
"=""20:30""";0;236;1;236;1;0;0;0
"=""20:45""";0;279;1;279;1;0;0;0
"=""21:00""";0;287;1;287;1;0;0;0
"=""21:15""";0;286;1;287;1;0;0;0
"=""21:30""";0;243;1;243;1;0;0;0
"=""21:45""";0;284;1;284;1;0;0;0
"=""22:00""";0;307;1;307;1;0;0;0
"=""22:15""";0;319;1;319;1;0;0;0
"=""22:30""";0;315;1;315;1;0;0;0
"=""22:45""";0;325;1;325;1;0;0;0
"=""23:00""";0;284;1;283;1;0;0;0
"=""23:15""";0;282;1;282;1;0;0;0
"=""23:30""";0;240;1;240;1;0;0;0
"=""23:45""";0;241;1;241;1;0;0;0
"=""00:00""";0;240;1;240;1;0;0;0
