 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;0;386;386;0;0;0;0
"=""00:30""";0;0;400;400;0;0;0;0
"=""00:45""";0;0;395;395;0;0;0;0
"=""01:00""";0;0;310;310;0;0;0;0
"=""01:15""";0;0;282;282;0;0;0;0
"=""01:30""";0;0;285;285;0;0;0;0
"=""01:45""";0;0;287;287;0;0;0;0
"=""02:00""";0;0;361;361;0;0;0;0
"=""02:15""";0;0;406;406;0;0;0;0
"=""02:30""";0;0;408;408;0;0;0;0
"=""02:45""";0;0;353;353;0;0;0;0
"=""03:00""";0;0;289;289;0;0;0;0
"=""03:15""";0;0;335;335;0;0;0;0
"=""03:30""";0;0;286;286;0;0;0;0
"=""03:45""";0;0;298;298;0;0;0;0
"=""04:00""";0;0;404;404;0;0;0;0
"=""04:15""";0;0;406;406;0;0;0;0
"=""04:30""";0;0;377;377;0;0;0;0
"=""04:45""";0;0;325;325;0;0;0;0
"=""05:00""";0;0;285;285;0;0;0;0
"=""05:15""";0;0;283;283;0;0;0;0
"=""05:30""";0;0;281;281;0;0;0;0
"=""05:45""";0;0;324;324;0;0;0;0
"=""06:00""";0;0;395;395;0;0;0;0
"=""06:15""";0;0;383;383;0;0;0;0
"=""06:30""";0;0;350;350;0;0;0;0
"=""06:45""";0;0;360;360;0;0;0;0
"=""07:00""";3;0;362;365;0;3;0;3
"=""07:15""";45;0;251;296;0;45;0;45
"=""07:30""";61;0;282;343;0;61;0;61
"=""07:45""";92;0;310;402;0;92;0;92
"=""08:00""";106;0;"1,759";"1,865";0;106;0;106
"=""08:15""";190;0;332;522;0;190;0;190
"=""08:30""";260;0;362;622;0;260;0;260
"=""08:45""";324;0;120;444;3;324;1;328
"=""09:00""";346;0;42;388;65;346;23;434
"=""09:15""";361;0;5;366;58;361;731;"1,150"
"=""09:30""";587;0;11;598;11;587;"1,032";"1,630"
"=""09:45""";640;157;22;819;21;640;910;"1,571"
"=""10:00""";389;0;21;410;20;389;"1,239";"1,647"
"=""10:15""";"1,154";557;10;"1,720";6;"1,154";368;"1,528"
"=""10:30""";"1,054";197;28;"1,279";31;"1,054";988;"2,073"
"=""10:45""";551;0;19;569;22;551;"1,305";"1,878"
"=""11:00""";"1,311";215;45;"1,570";42;"1,311";"1,343";"2,695"
"=""11:15""";722;21;64;807;61;722;"2,297";"3,080"
"=""11:30""";764;19;113;896;115;764;"2,207";"3,087"
"=""11:45""";"1,193";59;96;"1,348";88;"1,193";"2,378";"3,659"
"=""12:00""";"2,227";248;107;"2,581";102;"2,227";902;"3,231"
"=""12:15""";"1,494";55;125;"1,674";127;"1,494";"1,980";"3,601"
"=""12:30""";"1,206";25;21;"1,251";20;"1,206";"2,337";"3,562"
"=""12:45""";"1,118";6;35;"1,159";40;"1,118";"1,927";"3,085"
"=""13:00""";953;0;23;976;22;953;"2,277";"3,252"
"=""13:15""";"1,183";0;16;"1,199";16;"1,183";"2,455";"3,654"
"=""13:30""";"1,109";0;16;"1,125";14;"1,109";"2,651";"3,774"
"=""13:45""";"1,337";"1,179";20;"2,536";17;"1,337";177;"1,532"
"=""14:00""";"2,184";322;39;"2,545";39;"2,184";665;"2,888"
"=""14:15""";"1,240";10;28;"1,278";28;"1,240";"2,211";"3,479"
"=""14:30""";"1,306";0;20;"1,326";19;"1,306";"1,902";"3,227"
"=""14:45""";"1,383";53;25;"1,461";22;"1,383";"1,227";"2,632"
"=""15:00""";"1,423";2;17;"1,441";17;"1,423";"1,976";"3,416"
"=""15:15""";"2,446";"1,237";29;"3,712";23;"2,446";52;"2,521"
"=""15:30""";"1,659";"1,319";60;"3,039";49;"1,659";203;"1,911"
"=""15:45""";"1,984";211;103;"2,298";73;"1,984";245;"2,302"
"=""16:00""";"1,787";616;109;"2,512";110;"1,787";5;"1,902"
"=""16:15""";"1,627";616;118;"2,361";93;"1,627";48;"1,768"
"=""16:30""";"1,277";4;4;"1,285";4;"1,277";220;"1,501"
"=""16:45""";"1,234";35;6;"1,275";2;"1,234";25;"1,261"
"=""17:00""";"1,062";251;4;"1,317";4;"1,062";9;"1,075"
"=""17:15""";497;84;2;583;4;497;384;885
"=""17:30""";629;720;3;"1,352";2;629;98;729
"=""17:45""";645;985;2;"1,632";2;645;0;647
"=""18:00""";470;"1,145";2;"1,616";1;470;0;471
"=""18:15""";302;"1,271";2;"1,575";2;302;0;304
"=""18:30""";177;"1,450";2;"1,629";1;177;0;178
"=""18:45""";91;"1,691";2;"1,784";2;91;0;93
"=""19:00""";22;"1,928";3;"1,952";3;22;0;25
"=""19:15""";0;"2,213";5;"2,215";3;0;0;0
"=""19:30""";0;"2,274";4;"2,274";4;0;0;0
"=""19:45""";0;"2,296";4;"2,296";3;0;0;0
"=""20:00""";0;"2,254";4;"2,253";5;0;0;0
"=""20:15""";0;"1,858";2;"1,858";2;0;0;0
"=""20:30""";0;"1,823";4;"1,824";3;0;0;0
"=""20:45""";0;"1,807";4;"1,807";5;0;0;0
"=""21:00""";0;"1,712";3;"1,712";4;0;0;0
"=""21:15""";0;647;"1,096";"1,741";2;0;0;0
"=""21:30""";0;0;"1,766";"1,766";0;0;0;0
"=""21:45""";0;0;"1,789";"1,789";0;0;0;0
"=""22:00""";0;0;"1,809";"1,809";0;0;0;0
"=""22:15""";0;0;"1,846";"1,846";0;0;0;0
"=""22:30""";0;0;"1,816";"1,816";0;0;0;0
"=""22:45""";0;0;"1,692";"1,692";0;0;0;0
"=""23:00""";0;0;"1,699";"1,699";0;0;0;0
"=""23:15""";0;0;"1,714";"1,714";0;0;0;0
"=""23:30""";0;0;"1,747";"1,747";0;0;0;0
"=""23:45""";0;0;"1,765";"1,765";0;0;0;0
"=""00:00""";0;0;"1,819";"1,819";0;0;0;0
