 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;347;1;348;1;0;0;0
"=""00:30""";0;370;1;370;1;0;0;0
"=""00:45""";0;323;1;323;1;0;0;0
"=""01:00""";0;270;1;270;1;0;0;0
"=""01:15""";0;254;1;254;1;0;0;0
"=""01:30""";0;252;1;252;1;0;0;0
"=""01:45""";0;263;1;263;1;0;0;0
"=""02:00""";0;320;1;320;1;0;0;0
"=""02:15""";0;343;1;343;1;0;0;0
"=""02:30""";0;374;1;374;1;0;0;0
"=""02:45""";0;322;1;322;1;0;0;0
"=""03:00""";0;273;1;273;1;0;0;0
"=""03:15""";0;253;1;253;1;0;0;0
"=""03:30""";0;256;1;255;1;0;0;0
"=""03:45""";0;302;1;303;1;0;0;0
"=""04:00""";0;323;1;323;1;0;0;0
"=""04:15""";0;346;2;347;1;0;0;0
"=""04:30""";0;427;1;428;1;0;0;0
"=""04:45""";0;512;1;512;1;0;0;0
"=""05:00""";0;352;1;351;1;0;0;0
"=""05:15""";0;325;1;325;1;0;0;0
"=""05:30""";0;323;1;324;1;0;0;0
"=""05:45""";0;324;1;324;1;0;0;0
"=""06:00""";0;256;1;256;1;0;0;0
"=""06:15""";0;263;1;263;1;0;0;0
"=""06:30""";0;297;1;297;1;0;0;0
"=""06:45""";0;310;1;310;1;0;0;0
"=""07:00""";0;342;1;342;1;0;0;0
"=""07:15""";0;320;1;320;1;0;0;0
"=""07:30""";0;344;1;344;1;0;0;0
"=""07:45""";0;265;1;265;1;0;0;0
"=""08:00""";0;253;1;253;1;0;0;0
"=""08:15""";48;208;2;258;2;48;0;50
"=""08:30""";131;156;1;288;1;131;0;132
"=""08:45""";102;243;1;346;1;102;0;103
"=""09:00""";233;121;1;355;1;233;0;234
"=""09:15""";167;135;1;303;1;167;0;168
"=""09:30""";220;13;9;242;1;220;24;245
"=""09:45""";226;5;3;233;1;226;38;265
"=""10:00""";229;5;5;239;1;229;13;242
"=""10:15""";215;18;1;234;1;215;34;250
"=""10:30""";0;55;3;56;1;0;1;
"=""10:45""";327;15;9;351;1;327;36;364
"=""11:00""";375;21;1;397;1;375;90;466
"=""11:15""";260;0;1;262;1;260;207;469
"=""11:30""";227;0;1;228;1;227;220;448
"=""11:45""";151;0;2;154;3;151;700;854
"=""12:00""";230;0;3;232;2;230;744;976
"=""12:15""";223;0;4;227;4;223;912;"1,139"
"=""12:30""";333;0;3;335;2;333;681;"1,016"
"=""12:45""";262;0;24;286;24;262;"1,650";"1,936"
"=""13:00""";280;0;13;293;14;280;"1,128";"1,422"
"=""13:15""";0;0;26;;26;0;"1,647";"1,399"
"=""13:30""";289;0;6;296;5;289;945;"1,240"
"=""13:45""";295;0;3;297;2;295;444;740
"=""14:00""";304;0;3;308;4;304;838;"1,146"
"=""14:15""";303;0;3;307;2;303;717;"1,022"
"=""14:30""";0;0;3;;6;0;785;699
"=""14:45""";303;0;16;319;16;303;"1,588";"1,907"
"=""15:00""";267;0;12;279;11;267;"1,634";"1,912"
"=""15:15""";225;0;5;230;5;225;975;"1,205"
"=""15:30""";242;0;43;285;53;242;"3,111";"3,406"
"=""15:45""";225;0;60;285;63;225;"3,234";"3,521"
"=""16:00""";197;0;46;242;44;197;"1,446";"1,687"
"=""16:15""";198;0;61;259;61;198;"2,075";"2,334"
"=""16:30""";360;0;5;365;"1,970";360;382;"2,711"
"=""16:45""";"1,158";0;0;"1,158";"1,423";"1,158";0;"2,581"
"=""17:00""";464;7;2;474;374;464;0;838
"=""17:15""";305;0;2;307;83;305;0;388
"=""17:30""";328;0;0;328;"1,235";328;0;"1,563"
"=""17:45""";263;0;0;263;320;263;0;583
"=""18:00""";237;0;0;237;182;237;0;419
"=""18:15""";177;43;5;225;73;177;0;250
"=""18:30""";280;0;0;280;366;280;0;646
"=""18:45""";300;0;0;300;127;300;0;427
"=""19:00""";171;86;5;262;7;171;0;178
"=""19:15""";41;176;1;218;1;41;0;42
"=""19:30""";78;148;1;227;1;78;0;79
"=""19:45""";107;131;1;238;1;107;0;108
"=""20:00""";63;229;1;293;1;63;0;64
"=""20:15""";4;284;1;288;1;4;0;5
"=""20:30""";0;343;1;343;1;0;0;0
"=""20:45""";0;360;1;360;1;0;0;0
"=""21:00""";0;288;1;288;1;0;0;0
"=""21:15""";0;244;1;244;1;0;0;0
"=""21:30""";0;240;1;240;1;0;0;0
"=""21:45""";0;242;1;242;1;0;0;0
"=""22:00""";0;245;1;245;1;0;0;0
"=""22:15""";0;249;1;249;1;0;0;0
"=""22:30""";0;309;1;309;1;0;0;0
"=""22:45""";0;282;1;282;1;0;0;0
"=""23:00""";0;326;1;326;1;0;0;0
"=""23:15""";0;315;1;315;1;0;0;0
"=""23:30""";0;313;1;314;1;0;0;0
"=""23:45""";0;315;1;315;1;0;0;0
"=""00:00""";0;316;1;316;1;0;0;0
